year,afinn_sentiment_avg,afinn_sd_avg,afinn_sentiment_wtd,afinn_sd_wtd,jockers_sentiment_avg,jockers_sd_avg,jockers_sentiment_wtd,jockers_sd_wtd,nrc_sentiment_avg,nrc_sd_avg,nrc_sentiment_wtd,nrc_sd_wtd,huliu_sentiment_avg,huliu_sd_avg,huliu_sentiment_wtd,huliu_sd_wtd,rheault_sentiment_avg,rheault_sd_avg,rheault_sentiment_wtd,rheault_sd_wtd,tot_speeches,tot_words,avg_speech_length
1979,0.1500689816866005,0.4463260675700898,0.19282212668687282,0.5939461291851966,0.1259548361182758,0.23175930083942253,0.11442147024140031,0.25733247457173763,0.17108291775893625,0.3212091711023486,0.18352512791002806,0.367730033910053,0.05957466892216729,0.28287779418590225,0.051192572356477055,0.3488467520703373,0.19707485769230687,0.21598050555142365,0.20276176278883243,0.20276176278883243,30496,5655577,185.4530758132214
1980,0.12299169015853716,0.4383816624074766,0.15228234058895304,0.5733499391580141,0.11628886468360608,0.2349139343689278,0.10438428347313414,0.2567002413495332,0.15982451926552746,0.32195081814309673,0.169819205416444,0.3635899640661341,0.04673821167760512,0.27808244507697893,0.03217324166712443,0.3380140695703282,0.18483774082492038,0.2139921044644035,0.19073159160493017,0.19073159160493017,63479,11107141,174.97347154176973
1981,0.13511007439274603,0.459769079827367,0.1591338535354814,0.602450068618827,0.12203069827246135,0.23933667296578215,0.10598713042211308,0.2618608536865145,0.166721545424624,0.3288341777492605,0.1735419623672954,0.3706293484815079,0.050230323049174755,0.2856228874856037,0.03430439730684419,0.35003393129034055,0.1929084470128343,0.21870187576292868,0.1954765464794815,0.1954765464794815,53750,10752178,200.04052093023256
1982,0.13322993685655798,0.453948883900695,0.16193405507421624,0.5865809506663239,0.12110561670542412,0.2379385236977294,0.10813421637936421,0.2603057471316293,0.16714841892740678,0.3261485734251035,0.1758898484175105,0.3666248856220761,0.05196108767516234,0.2817235773271637,0.041233929020828355,0.34343982920412863,0.19129571151051195,0.21713457542477513,0.19588744800466862,0.19588744800466862,58505,10734088,183.47300230749508
1983,0.1421579640181721,0.45562176617606975,0.1744892581811014,0.6104049993863827,0.12424980755333284,0.2386715846579464,0.10987938623565799,0.2637881028878984,0.16812171210510976,0.3270928849677474,0.17635623851935076,0.373048173668962,0.05271098846831779,0.28178095527661035,0.040128293785722184,0.349400007165453,0.19608798341894276,0.2191643964995563,0.20190288382152624,0.20190288382152624,48700,9315209,191.27739219712527
1984,0.12889449908704576,0.45455530950248413,0.15760355963790265,0.5942046313104316,0.11849529525213752,0.2369053635327276,0.1044984872380712,0.25876217369913024,0.16279842724342175,0.32775921802517555,0.17161207718710972,0.37123069799810626,0.044501420772160905,0.28190505139870226,0.032105034812976836,0.34635792855495856,0.19206246673988553,0.21731098028977172,0.19687532589828785,0.19687532589828785,62089,11111441,178.95989627792363
1985,0.13229942159403785,0.46284568984472285,0.1546105686181958,0.5978955174576377,0.12240061367277863,0.2390495330788975,0.10736137403749471,0.2607214136090109,0.16789584694395496,0.32940212117800577,0.17439576183126998,0.3699295007801607,0.048556508062480824,0.28310447852565473,0.03439899300003807,0.34369755305337707,0.1937723775509223,0.22043349851958155,0.19866432731116618,0.19866432731116618,63104,11218294,177.7746894016227
1986,0.13795325880128428,0.46253160900470924,0.1691263323803297,0.5956214963339104,0.12407627279056259,0.23987469187924604,0.11349286833642729,0.26243819764648685,0.17262324546713526,0.3301307031419315,0.18271793808409367,0.3714929140970263,0.05069556143983801,0.28222641414528066,0.04125000193968679,0.3442277294605197,0.19823844892883777,0.2224918601847156,0.20611494629371524,0.20611494629371524,64091,11110507,173.35518247491848
1987,0.14148281338684968,0.4704806414744596,0.17796782569882916,0.6121082062656211,0.12165965229519937,0.2391117134133871,0.11176389317026922,0.26172132613400984,0.1713347748467299,0.3290680502266124,0.18133233194290097,0.3733951621932232,0.050081650186509646,0.2812988951161965,0.046305340764739134,0.3474558676305702,0.19843208188831235,0.22186919595395943,0.20768528745262335,0.20768528745262335,53191,9550589,179.5527250850708
1988,0.145708633760813,0.467505295865665,0.1731184383098762,0.6082277876048974,0.11998027307774904,0.23872783214868856,0.10961891205459395,0.26120232707940677,0.1674161055620824,0.3299559083475512,0.17657547347072802,0.3726837359335531,0.04951456322661677,0.280725434271206,0.04090760486118111,0.34760227449539377,0.1961111691020036,0.22275103639107466,0.20304136642615522,0.20304136642615522,66202,11615004,175.4479320866439
