party_group,afinn_sentiment_avg,afinn_sd_avg,afinn_sentiment_wtd,afinn_sd_wtd,jockers_sentiment_avg,jockers_sd_avg,jockers_sentiment_wtd,jockers_sd_wtd,nrc_sentiment_avg,nrc_sd_avg,nrc_sentiment_wtd,nrc_sd_wtd,huliu_sentiment_avg,huliu_sd_avg,huliu_sentiment_wtd,huliu_sd_wtd,rheault_sentiment_avg,rheault_sd_avg,rheault_sentiment_wtd,rheault_sd_wtd,tot_speeches,tot_words,avg_speech_length
Conservative,0.20558146210442074,0.5238028311471404,0.2608745349332986,0.7042821933566175,0.15115668484671743,0.25091316197552865,0.14575049677104235,0.27592678882192057,0.19772177438175728,0.34622147107425433,0.21504611138370205,0.3954974950338476,0.08617879565350692,0.30954474640595403,0.0910935551982995,0.3935196063233803,0.23245202110406873,0.23817085376898656,0.2435440345488021,0.2435440345488021,1070988,171716797,160.33494026076855
Labour,0.14519781178129545,0.5344882662589511,0.17898194054307634,0.7041379459927569,0.116072858086628,0.2468456394597843,0.11128690984908386,0.2729386405173434,0.16479142386173498,0.34469892088385873,0.17962810149884506,0.3963236208664055,0.04994710528346952,0.3135457644865071,0.04944342195049947,0.3916772712255579,0.21449492405247228,0.23663405137182858,0.2249663110653128,0.2249663110653128,872242,156871636,179.8487529836903
Liberal Democrat,0.19009884766958984,0.5854788807327543,0.2210232338658132,0.7415859314807737,0.12203989074701399,0.25247241685593713,0.11282150811506435,0.2768386711458467,0.17149961358746268,0.35850985996497153,0.17718811474609458,0.40841749900831636,0.05824828750207405,0.3358022352029055,0.05204692287351079,0.4083662108576408,0.23400005660753487,0.24884751746033462,0.23220950505878085,0.23220950505878085,125690,25507642,202.940902219747
Other,0.1305538714712067,0.5349556488629197,0.1667568132101991,0.7035030501894758,0.10093924355449738,0.24339946248163213,0.09062655852931215,0.26842020839318026,0.14883775255091392,0.34307191322142644,0.15865675453029965,0.3944958028665055,0.034559770637647445,0.31300394623392985,0.02722215342303846,0.39097294838577096,0.2121513883277237,0.24081217335196936,0.21852635976009865,0.21852635976009865,100428,19227140,191.45198550205123
