party,afinn_sentiment_avg,afinn_sd_avg,afinn_sentiment_wtd,afinn_sd_wtd,jockers_sentiment_avg,jockers_sd_avg,jockers_sentiment_wtd,jockers_sd_wtd,nrc_sentiment_avg,nrc_sd_avg,nrc_sentiment_wtd,nrc_sd_wtd,huliu_sentiment_avg,huliu_sd_avg,huliu_sentiment_wtd,huliu_sd_wtd,rheault_sentiment_avg,rheault_sd_avg,rheault_sentiment_wtd,rheault_sd_wtd,tot_speeches,tot_words,avg_speech_length
Respect,-0.05146616831277023,0.8248019704232021,-0.08218091686118237,1.0861811562376458,0.013725478182749981,0.2769682881078785,-1.7371539310994503e-4,0.29228128930585473,0.05324042918810797,0.3635728328610058,0.048944640849287874,0.4312591464594261,-0.024538687774179824,0.46367196681546397,-0.08636553406373008,0.5454295676736847,0.13177246841522505,0.2367948252858367,0.13592564047749453,0.13592564047749453,167,66958,400.94610778443115
Scottish National Party,0.1359171038377773,0.5613970141761729,0.19286395416905505,0.7573726516182321,0.09479302366591673,0.24407801356466097,0.09229828622688914,0.2706108100970215,0.14161365293175684,0.34768620260586103,0.155437785819705,0.40834095895198635,0.032322798913733755,0.3205562257159951,0.03498484946011053,0.41838692255804105,0.20920816394350153,0.23546939851627122,0.21946812469938837,0.21946812469938837,27661,4681786,169.25584758323993
SNP,0.10581738675189786,0.4765069847917984,0.1676397820122063,0.6164789730005862,0.07941257425937986,0.23071316405930456,0.0793411183512707,0.26733464003824997,0.11227221436960977,0.33426691811148945,0.1297987700102272,0.4036365968406733,0.03596621239360297,0.29568324734251406,0.030550881327064953,0.38596309706054005,0.1896791811608198,0.20951421628473244,0.21032133389505792,0.21032133389505792,329,49160,149.4224924012158
Social Democratic,0.12042405511722928,0.5028064395662505,0.16032592306492488,0.6336842963236897,0.0971757269581245,0.24027671943959947,0.09251403567461845,0.2664842581365327,0.15029282258345095,0.34006761217699866,0.1651979205458565,0.38260336235510606,0.030917272558246837,0.303755461769171,0.026131468055301418,0.36390932684932165,0.19426483628181257,0.22919691728923777,0.19777274490215396,0.19777274490215396,7804,1891835,242.4186314710405
Social Democratic & Labour Party,0.124811319832014,0.5739623920395374,0.13823204681573703,0.7363029329548417,0.09585665154528868,0.24896339529119207,0.0848155739480461,0.27286485557989437,0.15067959771995965,0.35437074517857203,0.15735568899415775,0.4035294137118943,0.02512045087327537,0.336900944685858,0.010368750158552936,0.4060030337900979,0.20733743079605615,0.23534041791665497,0.20080371770719163,0.20080371770719163,4974,1216443,244.5603136308806
Social Democratic Party,0.06207189514656936,0.47237439698672223,0.07482113710513229,0.6074886579888645,0.0888943265107434,0.2431931530663256,0.06732861230808158,0.26221743060257,0.13981091654138095,0.33487211972357384,0.126526749216149,0.3719595419009435,0.01684965826360829,0.29794382191233604,-0.00823871881130333,0.3508453333453225,0.16814050649734671,0.2252817903409555,0.16063448394081967,0.16063448394081967,1141,263575,231.00350569675723
UKIP,0.18577652739941777,0.6140705871965799,0.22038201733503646,0.8823685965792029,0.13599969954470523,0.26700924456536457,0.11792999374714411,0.30059471041191993,0.1847392007745425,0.36903010304593864,0.1884980757557631,0.4363189579862269,0.06692847267657674,0.33582265584458826,0.05186346920880212,0.4416516248630091,0.2572843019186136,0.26167472302457073,0.2552255749910348,0.2552255749910348,2549,390031,153.0133385641428
Ulster Progressive Unionist Party,0.027182227976019647,0.5766559415648913,0.021460391641372523,0.6738602628245774,0.06377751372350288,0.25296796839021096,0.045390081924655545,0.28063823810628985,0.11120767317894463,0.3392526985682368,0.11103188007861127,0.3870874065915616,-0.00808069889327597,0.31664811968491974,-0.03679586391635746,0.35976742054552907,0.189765779660005,0.22417585659175002,0.1704113432014307,0.1704113432014307,699,182312,260.81831187410586
Ulster Unionist Party,0.14523572339432203,0.4960358962133796,0.16757174838505512,0.6393899012055527,0.09813986616045427,0.23386657993828774,0.08383104888381614,0.2550746396391314,0.14516621774652122,0.32731320724785473,0.15258797111650804,0.3749245428480797,0.032994801528164704,0.2961828360791356,0.01793921826842499,0.36328494402588446,0.19937479547493797,0.22309623203936055,0.18816832204384953,0.18816832204384953,10626,2452312,230.78411443628835
United Kingdom Unionist,0.12381921822856644,0.5140942659161756,0.13062754394939988,0.648734114574174,0.07893400170234072,0.24612926066385238,0.06542989584130131,0.25642229711737907,0.15017608018960704,0.34185756735688755,0.14798918934383762,0.38667659495351187,-0.0019523291174562076,0.3020432066429897,-0.009331845540270705,0.3608259107682969,0.1717448636665514,0.1973245646971899,0.1722811390789889,0.1722811390789889,386,68633,177.80569948186528
United Ulster Unionist Party,0.035695352357175816,0.41848968312577967,0.029719065171592965,0.6387365781957305,0.08375370629644513,0.19777571493254859,0.06078649030914389,0.24142450213289326,0.16244363558583125,0.2845896131612412,0.13570899136967152,0.3370463531681368,-0.030466226525304656,0.24310796096319676,-0.043221473696831055,0.3421228133507101,0.1526400742121691,0.18056014259371855,0.15558458966493152,0.15558458966493152,49,12420,253.46938775510205
