ministry,afinn_sentiment_avg,afinn_sd_avg,afinn_sentiment_wtd,afinn_sd_wtd,jockers_sentiment_avg,jockers_sd_avg,jockers_sentiment_wtd,jockers_sd_wtd,nrc_sentiment_avg,nrc_sd_avg,nrc_sentiment_wtd,nrc_sd_wtd,huliu_sentiment_avg,huliu_sd_avg,huliu_sentiment_wtd,huliu_sd_wtd,rheault_sentiment_avg,rheault_sd_avg,rheault_sentiment_wtd,rheault_sd_wtd,tot_speeches,tot_words,avg_speech_length
Blair1,0.17070454392067722,0.5088308376149685,0.2124089409199083,0.6532331370286696,0.13059661898299135,0.24868023235841674,0.12498840408516936,0.2728851909149631,0.1711020100570647,0.3425222209107307,0.18871834650811645,0.3874392277038334,0.06339869964820302,0.30601688785434455,0.06251502725148882,0.3714047610747168,0.2196725799371478,0.23727150566888333,0.22901565703380297,0.22901565703380297,227286,41870999,184.2216370563959
Blair2,0.18916096894691384,0.5899279925952388,0.23572612044302788,0.8099911335791493,0.13876236592592586,0.25942786950843566,0.13585992383313059,0.28792836399448146,0.18961437553383406,0.3637983276484377,0.2096552504271521,0.4286774215170184,0.06815252389935662,0.34299801745614006,0.0783066850684589,0.45911592048726124,0.23958873702827307,0.2506430155217086,0.2558046020208789,0.2558046020208789,198034,36385083,183.73149560176535
Blair3,0.20717697953776965,0.619750808393191,0.27338977717494944,0.844762375124224,0.1395870967610409,0.26185508272074975,0.13807970474777842,0.28971720554174996,0.19188700125184371,0.3697421322160691,0.21157928589781844,0.4280267277419352,0.07383494210832531,0.3516629527884898,0.08620127512061666,0.4492362474258713,0.2449528397792276,0.2546781175285887,0.2590154306825233,0.2590154306825233,128693,26818997,208.39514969734174
Brown,0.20870340157515366,0.6274933208853963,0.26337029375788,0.8529626002829293,0.14093290704570907,0.26218753984047727,0.14059646400545311,0.29064670656579517,0.19387364669721793,0.37007373101603885,0.21397122447895833,0.4356763347493435,0.07906309623662151,0.3592299743498749,0.09013497523730436,0.47005063996505564,0.24977007393675382,0.25680079143516027,0.26631822311493747,0.26631822311493747,167868,34488587,205.45063383134368
Cameron1,0.22974614357431952,0.6201977069152821,0.28826927422653525,0.8461615050781673,0.14842964517961355,0.2587126491527156,0.1473783009337613,0.28991284683599194,0.2001991517354149,0.365741846685046,0.21890860811419655,0.42973064410103984,0.0968987018854097,0.35041504745539187,0.11082219293214875,0.45560182554610995,0.26210590690991664,0.2562883029312035,0.27769965013679093,0.27769965013679093,333088,50326284,151.09005427995004
Cameron2,0.26405138784009713,0.6591733558205239,0.5123610217972457,1.2841748995782103,0.15361357651812171,0.26107528490559817,0.1577468040681547,0.29710461286392814,0.20627673637246705,0.3681896164559121,0.22653410913141775,0.4377662002415351,0.1071294987421569,0.35443291035483643,0.1300049490330261,0.4823508964351595,0.27117165492349704,0.26047659785373134,0.29205551455246354,0.29205551455246354,79908,12206916,152.76212644541224
Major1,0.14122711749867187,0.4788881496859864,0.16670666793609173,0.6137601820955918,0.12232051703616886,0.2433258883150766,0.10989914925016388,0.2649601903303266,0.1688535395206157,0.33421293567703336,0.17303717726466675,0.3746364666196614,0.050470393116972476,0.2882153574576139,0.04053072091975358,0.35055251429325474,0.20007490955633955,0.22618817351165882,0.20552060395130184,0.20552060395130184,79667,13839845,173.72117689884143
Major2,0.15890541916714018,0.49064180744529934,0.1908711842649142,0.6444339998916903,0.12772688993290113,0.24338300748057223,0.11787766298457882,0.2684272879854594,0.17642511906290625,0.33597685553803996,0.1866644834695724,0.38241889592878553,0.058491276175098854,0.29022120422657166,0.052683547329801274,0.3604532132777633,0.20900520243247142,0.22973423307683363,0.21634321891763705,0.21634321891763705,263631,48955334,185.69642416862965
May,0.26938895755150594,0.6248528428915399,0.3102051044649327,0.8360847596154957,0.1688049015852901,0.2609447943764855,0.16253191178076284,0.2926201779176107,0.2134870041570187,0.36354291550804146,0.22993785612084183,0.429642630364537,0.11973933653527291,0.3477745270828866,0.13341315803578768,0.44774389756474037,0.2833543240458528,0.2620286908650478,0.29237864618801623,0.29237864618801623,47267,7049055,149.13269299934416
Thatcher1,0.13393013788699076,0.4505300200606253,0.1636615781984528,0.5906877459608558,0.12076513567998816,0.23675995631602564,0.10749970576285983,0.25975557259523085,0.16543436137222137,0.3248318492204094,0.17448954026827496,0.3674370659082841,0.05107478267491577,0.28198674385960665,0.038079164024306174,0.3453378298098354,0.1909763628426363,0.21671614572202247,0.19573120857497361,0.19573120857497361,230428,42907167,186.2063941882063
Thatcher2,0.13453398062135077,0.4612510941715538,0.16351525018111335,0.5993195849628399,0.12214721731673564,0.2388837829693728,0.10890678489231086,0.26114479591471806,0.16855237578271554,0.32935322676165135,0.17679813306379064,0.3716229835935797,0.04858183376988967,0.2824988040767622,0.03736881971115741,0.3453854258795758,0.19536009864449336,0.22024202439009932,0.20152724671135455,0.20152724671135455,242166,43222890,178.48455191893163
Thatcher3,0.1467974909121119,0.4665491568636612,0.1760871596022759,0.6059774936636161,0.1214210982355466,0.2392581573006781,0.11199019533039803,0.26215475314479875,0.16981356396596656,0.3298098957123874,0.17946203048914772,0.3732770150429422,0.04976344428768476,0.2804584593034388,0.04203008853268114,0.34665328604266443,0.19763131573961226,0.22355044696475113,0.20591545527329724,0.20591545527329724,215889,37804664,175.1115804881212
