party,afinn_sentiment_avg,afinn_sd_avg,afinn_sentiment_wtd,afinn_sd_wtd,jockers_sentiment_avg,jockers_sd_avg,jockers_sentiment_wtd,jockers_sd_wtd,nrc_sentiment_avg,nrc_sd_avg,nrc_sentiment_wtd,nrc_sd_wtd,huliu_sentiment_avg,huliu_sd_avg,huliu_sentiment_wtd,huliu_sd_wtd,rheault_sentiment_avg,rheault_sd_avg,rheault_sentiment_wtd,rheault_sd_wtd,tot_speeches,tot_words,avg_speech_length
Alliance,0.19855126222575814,0.5907817275320401,0.2609897140513844,0.825434819936289,0.1302836710091505,0.2474610041368515,0.12968778735237935,0.2915333219298269,0.17001260898992085,0.36013798046048007,0.21604125722800932,0.4406957477008517,0.04975460216438764,0.35231697432053005,0.04672831839608956,0.4550032972991292,0.2565046089083836,0.2411256296234516,0.2792020318689539,0.2792020318689539,398,84049,211.178391959799
Conservative,0.19368199843249181,0.5146379421969591,0.2532814207464579,0.7164445442580757,0.14566294794144297,0.24661662982670052,0.13888907131774153,0.27104027383674756,0.19139199735796225,0.34139255318606254,0.20697283836553515,0.3908485189344047,0.07945590589535732,0.3057364077693426,0.08025736064977759,0.3941384414197632,0.22578332138486054,0.23206320348605328,0.23646112257277774,0.23646112257277774,1097276,182191264,166.0395962364984
Democratic Unionist,0.06442676811841792,0.45628230272810594,0.07359352531722259,0.5791806645740852,0.0647943396903656,0.21476036775986584,0.04458666625556586,0.23579177239570728,0.11419841901246951,0.30294850229067916,0.11361173568562452,0.33835915493489993,0.011184580481352808,0.26626565567235355,-0.01114899358063251,0.31800048553880544,0.15473960806326298,0.2000755446322178,0.14841170736568604,0.14841170736568604,2498,677514,271.22257806244994
Democratic Unionist Party,0.15713003487315572,0.5583391096677174,0.1757591226312661,0.7291357263100681,0.10146239387810815,0.2429266255405301,0.08621237696813154,0.2674019045083782,0.15420471710863595,0.3408207350522575,0.1540981958779537,0.390171245119034,0.03276307785956395,0.3186622801688827,0.02762959256945696,0.4037694619702041,0.21577211375690758,0.22891347100145223,0.20803921185032176,0.20803921185032176,9664,1996283,206.5690190397351
Green Party,0.13501163480305878,0.6789525597141562,0.15385016934754506,0.8943220909613837,0.09170474019302068,0.27152100697391957,0.09104904174981052,0.2988351548705954,0.1400782647273706,0.384967943611572,0.1637178522884698,0.45149911850447455,0.0051561924673102074,0.4195957915347778,0.005957348472414722,0.5375484684798891,0.23000999926636895,0.2639677516555802,0.24841947886259633,0.24841947886259633,1276,251554,197.1426332288401
Independent,0.12675858258425082,0.5322831105520693,0.1534325189613088,0.7329120245361929,0.10414548349252359,0.23934466067986554,0.09716255508638098,0.2718746024647582,0.1560919591276085,0.33427785090960893,0.1716134132934406,0.40089486694349263,0.04407491999742783,0.3029590286130289,0.06270997067956417,0.403634521891795,0.20659383248185229,0.23014898616440105,0.21582806141508565,0.21582806141508565,11925,2064849,173.15295597484277
Independent 'One Nation Conservative',0.20887060355918907,0.5417058374743812,0.2728197899750702,0.6374518901908294,0.16544838293010483,0.24468565865020309,0.13383340044821426,0.26326824159877993,0.22822835987179937,0.34964068868242193,0.2189873536408321,0.38022139458065285,0.1156605021350997,0.35006103888464674,0.08136110578891144,0.3793568451678059,0.24731255801156354,0.24188196933268025,0.22496667052957453,0.22496667052957453,316,100917,319.35759493670884
Independent Conservative,0.11736014182955301,0.44575022963992406,0.1708125567807322,0.6016702324085215,0.1359986996837439,0.2423131084158888,0.11835718960699117,0.26009792107935453,0.1671334505280879,0.3383500067495069,0.17679212427542532,0.37248686224194366,0.0649772814919126,0.2936804513863155,0.04946959301430213,0.35044417334520134,0.2060642078769888,0.22131317704266862,0.2005353402081896,0.2005353402081896,9399,1373273,146.1084157889137
Independent Labour,0.03912301495993923,0.4699293208816803,0.08875845088673198,0.5963285377530673,0.058989978535748534,0.2283864909141961,0.04982130864416407,0.24833135384514898,0.0894856065938565,0.32750494258678053,0.09433655351446571,0.3742479325034365,0.005745692426910765,0.28042278508742013,-0.005228109457898632,0.34513261554047747,0.15598371269053343,0.21687207956995266,0.15287305508009505,0.15287305508009505,1164,256854,220.66494845360825
Independent SDP,0.08592509180667626,0.6065841720288353,0.050662733574703495,0.6815562605189296,0.08098737433903995,0.2608034311934763,0.06280651661690148,0.2863989495538671,0.140839878783268,0.36523781296814006,0.1192262716672046,0.39458417372034094,0.00313857481024789,0.3425203733107647,-0.0239243978551292,0.37562725872140984,0.18751043633353306,0.2547247829133038,0.16934923598228574,0.16934923598228574,135,61008,451.9111111111111
Independent Socialist,-0.025704359126642956,0.4345956850206944,-0.07155606076670686,0.5660538384829424,0.03994450579962909,0.22597615138698166,0.011274407529238336,0.24264319841343174,0.08190720302369614,0.30925135398565473,0.05612890677674618,0.345151696024904,-0.051346696307093063,0.2616728915512257,-0.09105332494258112,0.30817627974884415,0.12008364462553701,0.19300496427764788,0.11297004765397858,0.11297004765397858,386,127717,330.8730569948186
Independent Ulster Unionist,0.019896273071154387,0.5162334481730148,0.004072795737205995,0.6407790566617059,0.0616594935773984,0.2474335974036947,0.04133132731710191,0.26297237975354587,0.1186163501745179,0.34217776976117287,0.10643914806520327,0.3806328825115944,-0.022892020940983224,0.312709980668974,-0.04657859841140846,0.36481688444925864,0.1651405352770137,0.2210508437422847,0.1564594084830775,0.1564594084830775,813,199083,244.87453874538744
Independent Unionist,0.08866803930628143,0.5048056714886074,0.12157637767909639,0.6195000475971314,0.0594452969910618,0.22991464814517412,0.049411139897812394,0.25068987151250766,0.1428031611030898,0.32422978417911724,0.12334437091443419,0.3645815819129981,-0.012740719532387168,0.28959341485313683,-0.012489840506717031,0.3486009944756036,0.20878758595027447,0.22783809192445115,0.19569497612848527,0.19569497612848527,188,33989,180.79255319148936
