quarter,afinn_sentiment_avg,afinn_sd_avg,afinn_sentiment_wtd,afinn_sd_wtd,jockers_sentiment_avg,jockers_sd_avg,jockers_sentiment_wtd,jockers_sd_wtd,nrc_sentiment_avg,nrc_sd_avg,nrc_sentiment_wtd,nrc_sd_wtd,huliu_sentiment_avg,huliu_sd_avg,huliu_sentiment_wtd,huliu_sd_wtd,rheault_sentiment_avg,rheault_sd_avg,rheault_sentiment_wtd,rheault_sd_wtd,tot_speeches,tot_words,avg_speech_length
1979.2,0.1698125968356425,0.4562877868756613,0.2401619691563975,0.6232156928952378,0.13851841371672952,0.23697369534759416,0.13248167997560079,0.26498289434354705,0.1859926325964564,0.32951681061309684,0.20669387666587002,0.37781423865669483,0.07390731291889954,0.2947849420230241,0.07813318321882534,0.36486077010430773,0.21384123591436233,0.22186897647813422,0.22025291068154906,0.22025291068154906,6430,1388231,215.899066874028
1979.3,0.14310959577477153,0.4523994457996034,0.17258136599511423,0.5866497342923204,0.11708223315093322,0.23191358363173226,0.10428749412496723,0.25535416584905696,0.1590255061804783,0.32033374358556355,0.1678488943356716,0.36389962137837967,0.04635559466695667,0.27712605034788546,0.0379234292955866,0.3430658948807165,0.18864629057209295,0.2148659246693558,0.19221733143807831,0.19221733143807831,8122,1467699,180.7065993597636
1979.4,0.14565181453704798,0.43930097821042025,0.17995932911818743,0.5832356981563427,0.12540788913776266,0.22960599980542895,0.11077882657689331,0.2545703193934546,0.17121217205114528,0.3183433991836789,0.18025486458282225,0.3647300883868911,0.06052840827250801,0.2810360153168668,0.044790092630739214,0.3439244780551961,0.19460678256577404,0.21419816417701043,0.19961647255003317,0.19961647255003317,15944,2799647,175.59251128951328
1980.1,0.12819749321217286,0.43701288225123697,0.16402077795710707,0.5644444762412396,0.1182469402530116,0.23533197706365075,0.10921327772869083,0.256215106205108,0.16349145377801214,0.31988508244701885,0.174910030765157,0.3601863192936963,0.04671815957416338,0.2776216128540917,0.034437277100729954,0.3330095177302553,0.18602471613697447,0.21392519517130493,0.1928990889966484,0.1928990889966484,20926,3478193,166.21394437541815
1980.2,0.12384163776236343,0.4407140284792712,0.15396746790225627,0.5794466593968282,0.11514906857883757,0.23479322792295718,0.10267643731497941,0.2559515662250162,0.15843053697768236,0.32357206261536453,0.17114228349073976,0.36654553324338895,0.04461372083564728,0.2795063510277651,0.03122764170112283,0.34203756784201406,0.18462674625073278,0.21475049448079553,0.19076388358851568,0.19076388358851568,19229,3437750,178.77944770918924
1980.3,0.11545997362531762,0.41994508323615654,0.14740963187113298,0.5650204410046387,0.11034874280191473,0.22944996899293654,0.10250660364917169,0.25450676207531236,0.1519680849388531,0.31981596094606735,0.16536958292460666,0.3618839333342858,0.04747152056221137,0.2696979489931451,0.03548497960573664,0.333131125974108,0.17932922450486485,0.21062099731342715,0.1883677783942578,0.1883677783942578,11310,1919154,169.68647214854113
1980.4,0.11965420362751976,0.4541314505045543,0.13587855673638646,0.5847454523953349,0.12029462699550408,0.2394448737941137,0.1011618682639021,0.2604158253892221,0.16306464628728587,0.32492519061017294,0.1637824499934299,0.365758173316086,0.049483152682410554,0.284394140767351,0.0273406983600247,0.34368693509809806,0.18829369961190537,0.2160329940107957,0.18936125527189748,0.18936125527189748,12014,2272044,189.116364241718
1981.1,0.14739773210780785,0.4630329899770161,0.16704050817033378,0.6071429752853246,0.12876914115898827,0.23966692831391243,0.10809247291453757,0.2610402516976254,0.17671854090661412,0.3281660274248438,0.1795895842143835,0.37105289777955613,0.05535630384613663,0.28530112278403236,0.03489022964680121,0.35175370949283125,0.19987867260650563,0.21952421982972764,0.19767078325754459,0.19767078325754459,16799,3341725,198.92404309780343
1981.2,0.12299218296864542,0.45819943872776425,0.15060600136782767,0.6001362623751149,0.11687929305842595,0.23885895922008984,0.10249743188522374,0.26257657820933217,0.16295724107195353,0.3300165518619157,0.16918695828790312,0.37127488961089367,0.043757878556434496,0.2860419049615327,0.028009513197239176,0.3510001087155747,0.18701877244589318,0.21669607648752398,0.19053577781227812,0.19053577781227812,16925,3348732,197.85713441654357
1981.3,0.12785390820896664,0.46125221634797314,0.15614892676472086,0.5923427588821178,0.11439306322465789,0.23864415124049612,0.10578140832042669,0.2604280292599752,0.15363992607329896,0.32799350439432745,0.17283649810004217,0.3689068913430811,0.04590792601670194,0.2847147725216499,0.038083526226375924,0.3464654656118048,0.18691163849352002,0.22084233166233733,0.19549421757977353,0.19549421757977353,8429,1723384,204.4588919207498
