year,afinn_sentiment_avg,afinn_sd_avg,afinn_sentiment_wtd,afinn_sd_wtd,jockers_sentiment_avg,jockers_sd_avg,jockers_sentiment_wtd,jockers_sd_wtd,nrc_sentiment_avg,nrc_sd_avg,nrc_sentiment_wtd,nrc_sd_wtd,huliu_sentiment_avg,huliu_sd_avg,huliu_sentiment_wtd,huliu_sd_wtd,rheault_sentiment_avg,rheault_sd_avg,rheault_sentiment_wtd,rheault_sd_wtd,tot_speeches,tot_words,avg_speech_length
1979,0.14071824238249087,0.43249009759329093,0.1820766470193658,0.5757797716225456,0.12214599717844846,0.22771619009115726,0.1106974125906897,0.25172499709432006,0.16492363357213974,0.3151522041299316,0.17667984391969102,0.3598840934026069,0.05536891737543054,0.27594083002981773,0.04719410484846848,0.3403961867147215,0.1916363026608669,0.2103279577031234,0.1978218810610572,0.1978218810610572,30702,5678899,184.96837339586997
1980,0.11457460016253858,0.4258005520954531,0.14307103168466767,0.5601901989751008,0.11216970387090612,0.23071387822118145,0.10063624611803612,0.25172587621235964,0.15418414267828154,0.3164238868881956,0.16393073905601,0.3568039991596198,0.04249451979662765,0.2718440133491375,0.02793890870459322,0.33148377991967254,0.18002010868187118,0.20849978468622424,0.1863325066125661,0.1863325066125661,64048,11152727,174.13076130402197
1981,0.12566539562535378,0.4458298419128264,0.14858721291823163,0.5859915541357466,0.11778499687515524,0.2347307483269592,0.10196736565821746,0.256105177332627,0.16143113273113402,0.32285466718060146,0.16746906978863382,0.36284525649244964,0.04596479842457004,0.2789729829925605,0.02957264754583461,0.341476733265869,0.18763032806078178,0.21269889468459444,0.19035363022246868,0.19035363022246868,54148,10807206,199.5864297850336
1982,0.12471595531745132,0.4407061416848292,0.15268559815495014,0.570791099809351,0.11654620045186358,0.23309904854155017,0.10418233666330914,0.2543116499478543,0.1607180100862132,0.3200750967585099,0.16992935421775263,0.35890386090959453,0.047613745691157096,0.2747100064908564,0.03670428759134507,0.33526534221210386,0.1855206008036927,0.21091439913606244,0.19104853255355525,0.19104853255355525,59101,10789640,182.56273159506608
1983,0.1316914411403487,0.4410580957633685,0.16367185974965906,0.5938245393227576,0.11924982257690596,0.2337209566332563,0.10587132643202982,0.2576736262776893,0.16070552027703117,0.3205086583337514,0.1698938228787978,0.36499769568899837,0.04833986854534016,0.27456934287840035,0.03591258784238655,0.3411331878521069,0.18949602006643734,0.21309686567232494,0.19685294727290334,0.19685294727290334,49266,9359658,189.98209718670077
1984,0.11881140995794727,0.4399328698154353,0.147985691798481,0.5777794218445995,0.11369871919658786,0.23196382191364606,0.10057488360992951,0.25262709820525486,0.1558293809445356,0.32137583519252294,0.16562411186976309,0.3634294865340679,0.03965570918620456,0.27473897079240556,0.0278417031441815,0.3386289755233142,0.18598319805432678,0.21151396992220434,0.19201822357795453,0.19201822357795453,62927,11167336,177.46493556025234
1985,0.12277151601287409,0.44846754477674433,0.1448162175994059,0.5831742260108334,0.11791887352210823,0.2343247201480977,0.10354496155359103,0.2551032938440146,0.16125831210630262,0.32314156123860377,0.1681615794907186,0.36276305425981087,0.043701154410316745,0.27618306960110145,0.029972408223771375,0.33687576250344853,0.18789225689611247,0.21450796786380316,0.1937070070103669,0.1937070070103669,63907,11279114,176.49262209147668
1986,0.12816096119459774,0.44701440441641394,0.15901825681317686,0.579731102207709,0.11952897475606768,0.2352213704993682,0.10951453446550409,0.2565544292660755,0.16592815509750422,0.32403563836732024,0.1765382214184019,0.36402120775782676,0.04583993274542969,0.27481985383064933,0.036611316959189726,0.3368426604857225,0.19255847879501195,0.21646373397803984,0.20109480506036778,0.20109480506036778,65017,11172427,171.83854991771383
1987,0.13200050367586597,0.4561151009103826,0.16694958419155084,0.5960185587754259,0.11756389607308278,0.23462228874970836,0.10774576344810374,0.255988812254515,0.1651866483125736,0.32272890089791284,0.1753998436290923,0.36575665747342645,0.04520255516331163,0.27454676181672305,0.04094000162795946,0.3404600647207829,0.1933591749542976,0.21682380938295454,0.20304925550205083,0.20304925550205083,53943,9599402,177.95454461190516
1988,0.1360391168540281,0.4527329669410037,0.16349772513011931,0.5931861946072177,0.11565298259899898,0.23390001462879131,0.1057703147166398,0.2550320733864049,0.1612565431631204,0.32378861608032194,0.170605046819397,0.36477791042258073,0.044883632793375546,0.27300155015071703,0.036540782279174296,0.3393079387738397,0.1907128304459738,0.21697030901281927,0.19837317451438638,0.19837317451438638,67163,11676171,173.8482646695353
1989,0.1368095941410572,0.45376655510930286,0.1629496199207605,0.5888071480269041,0.11754821569542731,0.23618083524097028,0.10788068198742094,0.25761488168599206,0.16514560412877038,0.3244524127074669,0.1742705496868243,0.3666493412931854,0.043821354626878,0.27433718472595364,0.03464289088161689,0.33942350283055833,0.19247306885307833,0.2198974620032845,0.20179967459002277,0.20179967459002277,66709,11743544,176.04137372768292
1990,0.13793122499281313,0.4492205524658068,0.16585918805992333,0.5840721018321763,0.11900846645814353,0.2347760293809343,0.10979309088918034,0.25640156327462127,0.16415535607255688,0.3241881069622727,0.17245792058510254,0.3649156901824719,0.046882109428074824,0.27297606368049393,0.037697667364697804,0.3381316923204232,0.19326879599526045,0.2176381292011656,0.2012690395187069,0.2012690395187069,66250,11279503,170.25664905660378
1991,0.13146323869979903,0.45960088242299063,0.15578990173996346,0.5941810823252577,0.11943324438804168,0.23811335321395005,0.10674738144012019,0.2582253538124441,0.164504509631044,0.32793466168443597,0.16861291330190256,0.3661211208452454,0.046107753877494426,0.2798704571379362,0.0363788721489472,0.34162709236315186,0.19518814666308457,0.2199790942390379,0.2004859475730993,0.2004859475730993,57611,9939689,172.5310964919894
1992,0.14403822168820588,0.46458509605972725,0.1811492468155427,0.6109781758718766,0.12189361795342737,0.23727896237359167,0.11196577932741128,0.25943365656789213,0.1702806852280683,0.3269850307791723,0.17942181975481084,0.3701211635881569,0.051911947242729295,0.27972483949356364,0.04572576237961003,0.3473168860639142,0.20161971864933378,0.22132506264062743,0.20958918607255142,0.20958918607255142,46586,8478049,181.98705619714076
1993,0.14937889029245624,0.47036902062213404,0.1745283158274868,0.6076486526401871,0.12568409451585236,0.23897728804014465,0.11359519499209124,0.2583165848477712,0.1728855693364724,0.32849549470879796,0.1791460420256293,0.36875425248768906,0.05331872860687735,0.2801231874180064,0.04490080388020092,0.3439744169040679,0.20212535378916957,0.22278799743947372,0.20626253965978344,0.20626253965978344,59102,10387818,175.76085411661197
1994,0.1555660465505077,0.4770450476818667,0.18941816196893713,0.6264168202096622,0.12591936516249097,0.2407203938470214,0.11532715446701819,0.2610182158724068,0.17425391102444404,0.3298325956508642,0.1828722797338456,0.37386217218539863,0.05425163168248998,0.28372073273741527,0.04874237504524528,0.3510521169506458,0.20828904092283732,0.22519087450168385,0.21257206489784786,0.21257206489784786,53736,9653416,179.64522852463898
1995,0.15821573919640242,0.4748328150254446,0.19642871587998703,0.6389048738604135,0.12677538388028017,0.2375800670567785,0.11774428088196547,0.2650030328876915,0.17533106130642875,0.3300712675574933,0.18623832177051228,0.37847743256699473,0.05825161615131622,0.28342051390757733,0.053624361789885555,0.35770342019717677,0.20894789061070948,0.22488777412161176,0.21671606587068004,0.21671606587068004,53231,10097795,189.69763859405234
1996,0.13486828276992394,0.4794917025606673,0.1681325445940925,0.6377802543982865,0.11581099667116726,0.23729482885792016,0.10940991914095934,0.26460586002651915,0.15976837316989248,0.3298862787962083,0.17562071678886243,0.37841300937587324,0.04883472911471341,0.2835456977802908,0.0451720920236214,0.35589039728172195,0.19780688967066615,0.2228656764483552,0.20971362288149886,0.20971362288149886,55280,10549792,190.84283646888568
1997,0.16628167069970096,0.4872354946508587,0.20996375186876337,0.6468190570071862,0.12804310760226348,0.23944558746577302,0.12303074679301795,0.26633852496685606,0.17211286934001346,0.3341090977375248,0.19234255286617277,0.38236767380106385,0.06404116751006342,0.2932822111299753,0.06419750997509452,0.3640853039899004,0.21356362399585777,0.22879873917591956,0.22503422357146582,0.22503422357146582,43637,8541375,195.73698925224008
1998,0.16594237925651273,0.49012348308118575,0.21061584847203957,0.6298338149575795,0.12704518235040418,0.24070871890084303,0.12140374235739282,0.26308772068552366,0.16814890144725467,0.33509172239250196,0.1870460638209274,0.37842087637877514,0.05841978041574405,0.29794019180381437,0.058496849939452894,0.3627100421091792,0.2138242341430154,0.2298206567062863,0.2226027998687881,0.2226027998687881,62096,11250729,181.18282981190416
1999,0.15854689574105538,0.5003445852302878,0.19642461027338923,0.6425636354398492,0.12754741097858777,0.24559800886048025,0.11990294721821537,0.26842116733643856,0.16503882019402702,0.33832157970176124,0.18094732699543034,0.38111269062775177,0.05870366927783205,0.3003806405666385,0.05599168319352541,0.3640477980259674,0.21613316875931002,0.23351316241159722,0.22402369888673343,0.22402369888673343,55356,10460504,188.96784449743478
2e3,0.15407363465939528,0.49002335208627235,0.19209741916092432,0.6293525660504131,0.12385790240602407,0.2454991785178737,0.1175884610043698,0.2671011266173446,0.1614244323450723,0.33597004639671735,0.1762664458542127,0.37644094414589757,0.055037608203762106,0.2970574197188673,0.0515876940152847,0.3595709244078247,0.21290532134817486,0.23146198790408565,0.21916209298354083,0.21916209298354083,58210,10213185,175.45413159250987
2001,0.1577102908046005,0.5283205543490544,0.19761617817438693,0.7060066037602221,0.12577121334565353,0.2508544035770041,0.1209570727744037,0.27789947337587456,0.1700968234182796,0.34516755343805927,0.18755198396745465,0.3974691375572101,0.054793357627802484,0.31684763011877276,0.058232818881545925,0.39893019053052964,0.219611484659927,0.2368579136991884,0.23233767386019072,0.23233767386019072,46685,8681418,185.95733104851666
2002,0.18123224777345362,0.566455522237698,0.2371748145580251,0.7731004060582151,0.1366684423195299,0.25558166543908195,0.1330960118162825,0.27976058321725616,0.18524132135020235,0.3575172011012618,0.20434538117968024,0.41555609877792155,0.06377507600207906,0.33514839207218156,0.07280428879298562,0.45908477739812853,0.23447109989239978,0.24421886519596725,0.24661481014384148,0.24661481014384148,48602,9074457,186.70953870211102
2003,0.17253279322510615,0.568654421065093,0.21980879463723055,0.7776970428736268,0.1325091109034274,0.2527526898140903,0.12840309184304693,0.27908246264565223,0.18438695139426825,0.35723983337684784,0.20267578331897554,0.43060757682949863,0.059001680146086505,0.33351748344926035,0.06924184841094277,0.4440567610830511,0.23150019773879188,0.24228196719953968,0.24372441013373425,0.24372441013373425,54142,9301502,171.79827121273686
