ministry,afinn_sentiment_avg,afinn_sd_avg,afinn_sentiment_wtd,afinn_sd_wtd,jockers_sentiment_avg,jockers_sd_avg,jockers_sentiment_wtd,jockers_sd_wtd,nrc_sentiment_avg,nrc_sd_avg,nrc_sentiment_wtd,nrc_sd_wtd,huliu_sentiment_avg,huliu_sd_avg,huliu_sentiment_wtd,huliu_sd_wtd,rheault_sentiment_avg,rheault_sd_avg,rheault_sentiment_wtd,rheault_sd_wtd,tot_speeches,tot_words,avg_speech_length
Blair1,0.16983724174498951,0.5066429605167161,0.2129101732513565,0.6528039414428459,0.130628015467524,0.248916733950922,0.12524970324170862,0.27289429234633733,0.17049260275038272,0.3426189981281618,0.1889358726794414,0.38742753591752366,0.06291898372907632,0.30526338643440026,0.06275663102550044,0.3713397624747725,0.22025459251951976,0.23791749320501485,0.22933228132206776,0.22933228132206776,228181,41692019,182.71468264228835
Blair2,0.18857813453442882,0.5862913733755004,0.2361104477314097,0.8047711828933565,0.13897774604901583,0.2589630834677507,0.13677161616107483,0.2871017196968929,0.1895239078185293,0.3629983661640331,0.2102571413717233,0.42804786238816395,0.06832711761584431,0.34152177511187337,0.07952183103886389,0.45824308723901375,0.2395095734017112,0.2502068512986452,0.25621189039255254,0.25621189039255254,193531,34728352,179.4459388935106
Blair3,0.20272916300650573,0.5988187574413303,0.2766451342494877,0.8250485037620575,0.1399625170970042,0.25921835713973945,0.14070123582371585,0.2869861858158036,0.19031970339261495,0.36387540151776226,0.21184680546790988,0.42146630184373973,0.0737028611909246,0.341418886924728,0.09031606236589156,0.4377631121698436,0.24411465723230188,0.2521117436170127,0.2594623666346307,0.2594623666346307,110829,19142608,172.7220131914932
Brown,0.2038672129699326,0.6063385162338727,0.2593585036101769,0.8240729602546358,0.1409979299495269,0.259425924426633,0.14227593124892624,0.28715141439110153,0.1920442103312914,0.3636742586920518,0.21278660039447855,0.42702933437354323,0.07876097372286338,0.3488383648571677,0.0937829943042495,0.45647969826341234,0.24897588289061257,0.2538234743471226,0.26672506992961065,0.26672506992961065,147491,25355670,171.91333708497467
Cameron1,0.2286456187315928,0.616411974229112,0.28538028076374056,0.8393202800500533,0.14853811968684347,0.25824331405215906,0.1473409404656319,0.2889410076003161,0.19993115275432474,0.36477105739664806,0.21818196553843397,0.427945899208396,0.09662465694031133,0.3486658008105223,0.10976375075891348,0.4528087643999442,0.26216215198611725,0.25591650738664007,0.27749603886077717,0.27749603886077717,323953,47567991,146.83608733365642
Cameron2,0.25574023960338294,0.6389899128450044,0.3770128389602192,1.0176927053844043,0.15357854922727465,0.2606051351656291,0.1571780300172965,0.29517454811779126,0.20537783516531105,0.36689987945556307,0.22466139998063864,0.43504366243998643,0.1067119189616891,0.3529000559359916,0.12696821402498568,0.48043128876996655,0.2713592537707037,0.260307778434081,0.2919296924635756,0.2919296924635756,78325,11770845,150.2820938397702
Major1,0.13944200375485316,0.475721801408852,0.16685011835453706,0.613550370750778,0.12169570797824984,0.24321018264694833,0.10998171412235185,0.26498574015507503,0.1681486378557549,0.3340482469907951,0.17332911501483164,0.3747842259388509,0.04973347415020951,0.2867130437165027,0.04069105613691177,0.3505457776658484,0.19946200238388795,0.22624567334789727,0.2056273428943684,0.2056273428943684,79611,13685496,171.9045860496665
Major2,0.1571342910407417,0.4878912424786766,0.1908046968737412,0.6443746439891751,0.12699234001439905,0.24308290050422643,0.11783031036491219,0.26841951152151844,0.17525732136968294,0.33542252218911217,0.18666290789224713,0.3824463669651574,0.05758493285129756,0.28882004324997623,0.05266568986715028,0.3604148241442264,0.2087025068956436,0.22979961734399004,0.21640313709101922,0.21640313709101922,261883,48340496,184.5881405054929
May1,0.2677404014086332,0.6226274456041538,0.30737652791791203,0.8349540103428763,0.16804082905804968,0.26059232273615945,0.16140279057204546,0.29213920795850495,0.2121856477448738,0.3632131355361433,0.22824600927650687,0.4287999225842772,0.11885557600380083,0.3473718613425822,0.1312803543902841,0.4472109173617471,0.2832549743296637,0.26204267242397644,0.29169977363346483,0.29169977363346483,50450,7414887,146.97496531219028
May2,0.27518656862391017,0.6429828588169216,0.3734380752793729,0.9339545111094804,0.16681471266004458,0.2588543995665625,0.1678737556520492,0.30368504640995003,0.2287946626610447,0.3663302667599913,0.250229329347666,0.4317517211103497,0.12814918828735564,0.35290565036313937,0.15450819589228543,0.4690944058247757,0.29018585241406053,0.2649348957658617,0.3021433803628204,0.3021433803628204,8457,1265436,149.6317843206811
