party,afinn_sentiment_avg,afinn_sd_avg,afinn_sentiment_wtd,afinn_sd_wtd,jockers_sentiment_avg,jockers_sd_avg,jockers_sentiment_wtd,jockers_sd_wtd,nrc_sentiment_avg,nrc_sd_avg,nrc_sentiment_wtd,nrc_sd_wtd,huliu_sentiment_avg,huliu_sd_avg,huliu_sentiment_wtd,huliu_sd_wtd,rheault_sentiment_avg,rheault_sd_avg,rheault_sentiment_wtd,rheault_sd_wtd,tot_speeches,tot_words,avg_speech_length
Alliance,0.20369933770385731,0.6061983330929313,0.2644439676646999,0.8564917861387121,0.1279718078286781,0.25185083365817246,0.1292743304122089,0.29863104687972697,0.16875741255856594,0.3701373873352796,0.21695639843085698,0.44836962577628453,0.04833717511615691,0.359480553871503,0.0449231457176143,0.46285725632419294,0.2611201105511287,0.24568097038301484,0.283734120810498,0.283734120810498,384,79433,206.85677083333334
Conservative,0.20558146210442074,0.5238028311471404,0.2608745349332986,0.7042821933566175,0.15115668484671743,0.25091316197552865,0.14575049677104235,0.27592678882192057,0.19772177438175728,0.34622147107425433,0.21504611138370205,0.3954974950338476,0.08617879565350692,0.30954474640595403,0.0910935551982995,0.3935196063233803,0.23245202110406873,0.23817085376898656,0.2435440345488021,0.2435440345488021,1070988,171716797,160.33494026076855
Democratic Unionist,0.06967117276498763,0.4634021739473353,0.07968880404377185,0.5855702505746846,0.06639680857945365,0.21797594530502368,0.04664383711576481,0.23855926947268377,0.11713941319548246,0.30799475412545274,0.11726039888373133,0.3439620341859225,0.01387130615039533,0.2702095944956785,-0.008389599245586578,0.32194634031521263,0.15665513738253642,0.20419143091443326,0.14883713327847722,0.14883713327847722,2461,654748,266.04957334416906
Democratic Unionist Party,0.16901342918076673,0.5711648669883141,0.19924106367944933,0.751420637838847,0.10699572593593815,0.24724704268306724,0.09321779994038785,0.27219571324605407,0.1587446875912048,0.34702288584835833,0.16101797672268045,0.3962774439819426,0.03763863671868411,0.324584353369023,0.03458792337201662,0.40911280367065417,0.2202094108954546,0.23380830106070902,0.21283533208457334,0.21283533208457334,8457,1625939,192.2595483031808
DUP,0.12006602305355824,0.5686362745079816,0.09029274600403674,0.7484591721947926,0.09513365401469388,0.24359263590306837,0.08115215135412024,0.27649980127109786,0.17465837845832863,0.33801215008808816,0.1697200763754581,0.3960170049468039,0.0423622725726314,0.3235705836968051,0.027237464333222498,0.43963583089336356,0.23827027321292177,0.24413911906987143,0.2301501546580048,0.2301501546580048,655,139133,212.41679389312978
Green Party,0.13577823749558499,0.6852370442075526,0.153809224150845,0.9019525435905958,0.09230767296222683,0.2741555320763702,0.0905192753403032,0.30140267313991376,0.14355302792969193,0.3891531257909109,0.1637541769481107,0.45315346158771025,0.005473595239626491,0.4224931885782967,0.0016862597166712183,0.5415321618517919,0.235299554853542,0.26774817186746935,0.25100268575064194,0.25100268575064194,1286,246931,192.01477449455678
Independent,0.1245560019553224,0.5216621957219939,0.16552173669586204,0.7207972577940175,0.1018040619691779,0.23908973883227294,0.09749874269884255,0.2751344980191188,0.1523701009855022,0.332879241108399,0.17081610026365435,0.3986786827943645,0.03836489315721922,0.2992639678037356,0.049169537362220274,0.39246188278980587,0.2042368921077814,0.23291743452603691,0.2125991039144604,0.2125991039144604,10472,1756848,167.76623376623377
Independent 'One Nation Conservative',0.2224244373245289,0.5576264254145952,0.29524765955062665,0.6753463727684564,0.17245517636862576,0.24977401758140516,0.1413824846830009,0.2710221873090541,0.24024272412105793,0.3561153008306759,0.22845014237870556,0.39174135812724925,0.12330380642378663,0.35746812112086834,0.09386908154051399,0.39547825758269156,0.2571981854552188,0.2470287845953396,0.23280410950324468,0.23280410950324468,316,100506,318.05696202531647
Independent Conservative,0.12663187406147142,0.45839924220680445,0.18205122534043927,0.6151654362987682,0.13909325289265187,0.24739672750285355,0.12201609769413818,0.2657169343837516,0.17129228391183812,0.3457891352375505,0.18228847254555844,0.38094211252118637,0.068099575066055,0.3000452610304087,0.05353759193944971,0.35793337253162466,0.2097859108271181,0.22746913646010242,0.2049826642014914,0.2049826642014914,9398,1367621,145.52255799106192
Independent Labour,0.13077106053429788,0.4650530615405009,0.16885733525963395,0.6118109360824451,0.09014909100839254,0.21863895296684097,0.07854951574798084,0.2411261073179937,0.1314273804586477,0.332914670484516,0.14394054243210563,0.3837536938186856,0.039984173498380175,0.30994281351907643,0.015842036109418502,0.37247379452152324,0.1698328279978982,0.21412045208777059,0.17018508032190102,0.17018508032190102,513,142741,278.2475633528265
Independent SDP,0.08647093802072936,0.6240491217446255,0.05261609714017888,0.706007266339559,0.08220835813784638,0.2692614899937804,0.06560138436132533,0.29628470552977376,0.1403753794154429,0.3745582781238075,0.12308359205724559,0.40275842805837164,0.0036661044889100447,0.35332626943835904,-0.01955185709707293,0.3864072014264629,0.1913870266749358,0.26126639245895916,0.1755087707886197,0.1755087707886197,135,60582,448.75555555555553
Independent Ulster Unionist,0.025341357047183623,0.5283542127770056,0.007018312106795322,0.6490407599952331,0.06364910559015273,0.2515637686274157,0.04213406211610067,0.2683439783310931,0.11951698353708402,0.34859098911641767,0.10586380367568148,0.3895364731751715,-0.02100558273523875,0.31901020396587215,-0.046041778782500355,0.3736172430299626,0.16780561459009952,0.22750777782099948,0.15884056927065673,0.15884056927065673,813,198221,243.8142681426814
Independent Unionist,0.07815275003156164,0.5343134843192738,0.08582657621181472,0.6580266714840056,0.06633427076481145,0.24927831459236252,0.0476706514758341,0.2684249857661775,0.1278760814627462,0.3323337911692368,0.11914459824583096,0.36925949615591586,-0.006149233384542401,0.30528704227895126,-0.008916915317803968,0.36321530171670124,0.20522076169174916,0.24254310127367956,0.18725123456125373,0.18725123456125373,437,98770,226.01830663615561
Labour,0.1441636533200763,0.5322911610614643,0.17642530510762877,0.7007286880417971,0.1153599706332396,0.2463438782473611,0.11033055729303018,0.27243697420597635,0.16395750268532533,0.3438280212077814,0.17843809611408623,0.39537617794546287,0.0495731996662998,0.3122947619900421,0.04841557265181649,0.38984379439390077,0.21292471174005853,0.23577195810179888,0.22332703129420617,0.22332703129420617,827760,149228640,180.2800811829516
Labour (Co-op),0.16444233783360598,0.5744114406777432,0.22889996078116714,0.7706951963706244,0.12933889195238904,0.25596304559175814,0.12995958628387622,0.2827324228512373,0.18030975921052453,0.3605238707811504,0.20286282321795074,0.4148200786337508,0.05690506836220737,0.33627748935878465,0.06951206426922055,0.4274713291413755,0.24371480948306515,0.25229898176479965,0.2569730648071381,0.2569730648071381,44482,7642996,171.8222202239108
Liberal,0.11598621163374144,0.5109187320322378,0.1550455756271591,0.6395646988814666,0.09458486668094292,0.23366292731577706,0.07952892776034633,0.2569139744709621,0.1386867361771515,0.3257691809599069,0.12871953817271367,0.3737391633102429,0.026411657909009147,0.29639450228890873,0.01608798123906742,0.3514876729885631,0.18969154797135812,0.22393572345435364,0.18160423113982446,0.18160423113982446,4421,1026797,232.25446731508708
Liberal Democrat,0.19280070852367856,0.5879012039323758,0.22379052647954756,0.7458233133119897,0.1230407950291974,0.25308350285402403,0.11421789462175902,0.27766622973861776,0.17269584453709522,0.35957354489194077,0.17922102615171875,0.409857839865606,0.05940892822172161,0.33708252054763405,0.05355514423569912,0.41072862186574105,0.23561537393249457,0.24965685619713435,0.23433203569218677,0.23433203569218677,121269,24480845,201.87224270011296
Other,0.07595314417966634,0.5405188607632686,0.10702023658544563,0.6418316745288329,0.06226772562267967,0.25610289496826893,0.0652267849180736,0.27115301929100777,0.1207328837711027,0.34965855128108775,0.12468894138065789,0.37191552123739113,-0.01253158445951533,0.2985406786424082,-0.011375031758550001,0.35372437437145227,0.1745644447749276,0.24355991067643923,0.18187811577236176,0.18187811577236176,718,161607,225.07938718662953
Plaid Cymru,0.13239515461997728,0.5463340498359208,0.17276073435819295,0.728087536440453,0.09823728045381591,0.24144240529074903,0.09307138789750002,0.27116536931078267,0.14820668948144047,0.34383057146798923,0.16393294517509696,0.40654283848184264,0.029081234073239016,0.3130950123164829,0.023072541835962735,0.3940468634143348,0.2619625365510333,0.3100680964869442,0.32741555312328396,0.32741555312328396,10607,2117836,199.66399547468652
Respect,-0.061492737963546165,0.7960070161599941,-0.0839262372211102,1.0761825262977374,0.01041409380129066,0.27257738839168266,-5.828218172904587e-4,0.2927602902607386,0.0501891930452808,0.3536628532053268,0.04487859147052313,0.4267621810637069,-0.023674540208520747,0.4491858401298948,-0.06767449853202878,0.549496858323961,0.1305825330701381,0.23446396066462025,0.13394037846338702,0.13394037846338702,142,45373,319.5281690140845
Scottish National Party,0.1336729729840469,0.5561476902722338,0.19012136957938292,0.7502905105995781,0.09462177453176647,0.24373607358794244,0.09193994211388251,0.26988183954053,0.14143866736342162,0.34632428109763924,0.15509599404681876,0.4057025212562779,0.03221682982312061,0.3178120634803394,0.034443424309631925,0.41381109956356354,0.20975725505115744,0.23577444153469246,0.21935129987427354,0.21935129987427354,27906,4556146,163.26761269977783
SNP,0.1030175715546074,0.4726993916493478,0.14769657508728556,0.5930505265201784,0.07825610687658287,0.22985569818861792,0.07240025249109683,0.2622036221541532,0.11080932204305396,0.3327523016110495,0.12225111441754374,0.3946211283540176,0.03484685355885152,0.2938786142842139,0.021493263361287592,0.37519507469042884,0.1876014821425263,0.20846859720654287,0.2017986040945072,0.2017986040945072,330,47775,144.77272727272728
Social Democratic,0.1186142111713541,0.5006229301730426,0.1596602448765948,0.6291636772468441,0.09605870161558265,0.24009312040719968,0.0923525397505472,0.2658497326852178,0.14872196043109034,0.3396300767633179,0.16444253513997256,0.3814094350206856,0.029485865616299445,0.30299105089129796,0.025526267730951346,0.36246568923640016,0.19247574983064017,0.22868023178112834,0.19720181145572846,0.19720181145572846,7944,1894172,238.44058408862034
Social Democratic & Labour Party,0.1216526628557497,0.5655060613946215,0.13087723236163729,0.7243615796510777,0.0954974231263907,0.2474875386122588,0.08360480715782703,0.2704106527028075,0.15033713402006257,0.35201035213311294,0.15735964294926394,0.400187732717678,0.02421664432257632,0.331671162037809,0.008980512630744852,0.39744463975712424,0.2082284119558043,0.23458800247518194,0.20017749829680967,0.20017749829680967,4836,1132172,234.11331679073615
