party_group,afinn_sentiment_avg,afinn_sd_avg,afinn_sentiment_wtd,afinn_sd_wtd,jockers_sentiment_avg,jockers_sd_avg,jockers_sentiment_wtd,jockers_sd_wtd,nrc_sentiment_avg,nrc_sd_avg,nrc_sentiment_wtd,nrc_sd_wtd,huliu_sentiment_avg,huliu_sd_avg,huliu_sentiment_wtd,huliu_sd_wtd,rheault_sentiment_avg,rheault_sd_avg,rheault_sentiment_wtd,rheault_sd_wtd,tot_speeches,tot_words,avg_speech_length
Conservative,0.20601202732764295,0.5306263911087242,0.2673892296375892,0.7321794530870844,0.15077029019024263,0.2514978550830654,0.14403019370722428,0.27695956725374243,0.19791629964147595,0.34754317603890317,0.2137260067246476,0.3980528292827409,0.08580147020300892,0.3124121343655932,0.08849829451229066,0.39851007669476723,0.23225983399981942,0.23846722083508068,0.24292751366960474,0.24292751366960474,1088849,180912955,166.150637048847
Labour,0.14975302769699014,0.5412036367004532,0.1874999654346227,0.7146941115218127,0.11782396826955507,0.24781321419716082,0.11417845063698252,0.2744708787394918,0.16728399401352106,0.34643871395313197,0.1834859240789393,0.3993171062156647,0.05186655022058325,0.3167648873229766,0.05372295437248001,0.3966210364348632,0.2163724153373689,0.2376536236519547,0.2284522078066816,0.2284522078066816,888625,166121844,186.94257307638205
Liberal Democrat,0.1924222315354116,0.5945952341009658,0.22359703257915564,0.7578087065524143,0.12209560706416359,0.2535973612249628,0.11307131665478569,0.279021806118649,0.17222314536416103,0.3611344343191922,0.17840283863170064,0.41312044802434794,0.05863241805471067,0.34006153568066877,0.05247016376047548,0.41585683550204444,0.2343994110684364,0.24991346984506405,0.2334767708759576,0.2334767708759576,130663,27937520,213.81355089045866
Other,0.1328901572404066,0.5397004483989071,0.165708458416936,0.7100562698039653,0.10111157538344695,0.2439560960074763,0.08988710592547038,0.2692890207561043,0.14975610938327627,0.34378977669868444,0.1579733565714799,0.39588298420446666,0.03515310820161357,0.3149625807572397,0.027221600552431346,0.3934133630560859,0.21191937576537578,0.24023844819336249,0.21701133241548062,0.21701133241548062,105788,20903502,197.59804514689756
