Date,Name,Description,Activity Types,Distance,Duration,Ascent,Descent,Calories,Feeling,RPE,Average Speed,Average Pace,Average Swim Pace,Average Heart Rate,Average Power,Maximum Power,VO2Max,Link
"4/20/2020","2020-04-20T07:49:40.000Z","","Running","5.26 Km","30m 36s","50 m","49 m","397 KCal","Good ","","10.32 km/h","05:48 min/km","","152 bpm","","","56.70 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYV9UUYTHygkQvDyKtqffbTgacmVacbW"
"4/21/2020","2020-04-21T07:42:12.000Z","","Running","12.78 Km","01h 12m 12s","57 m","150 m","966 KCal","Very Good ","","10.62 km/h","05:39 min/km","","161 bpm","","","56.70 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYV9XzzN2gchwfjcxedAR91SHTuVnA2V"
"4/22/2020","2020-04-22T08:31:07.000Z","","Running","10.13 Km","58m 05s","42 m","28 m","736 KCal","Very Good ","","10.46 km/h","05:44 min/km","","155 bpm","","","56.40 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYfwwM4Zvsg7sDMajatJN11dfNBcRDQC"
"4/23/2020","2020-04-23T09:52:46.000Z","","Running","11.31 Km","55m 06s","36 m","28 m","970 KCal","Average ","","12.32 km/h","04:52 min/km","","179 bpm","","","56.60 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYfx12EnQ3qFL7H3vGBVQNmazEMiYhvR"
"4/24/2020","2020-04-24T15:46:06.000Z","","Running","5.40 Km","26m 15s","21 m","35 m","406 KCal","Very Good ","","12.34 km/h","04:51 min/km","","165 bpm","","","57.30 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYfx84GxE7VN8gn3CdRdippwwJMSqRdB"
"4/25/2020","2020-04-25T11:11:40.000Z","","Running","9.18 Km","49m 36s","14 m","7 m","656 KCal","Excellent ","","11.11 km/h","05:24 min/km","","156 bpm","","","57.30 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYfxBdxzL8asKxits5JVPSdoWdxYVb6V"
"4/26/2020","2020-04-26T08:27:00.000Z","","Running","6.73 Km","36m 23s","21 m","85 m","502 KCal","Good ","","11.09 km/h","05:24 min/km","","159 bpm","","","57.40 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYfxFFFLCtogBsZWBzAHsQsTTHzDeEn4"
"4/27/2020","2020-04-27T10:16:12.000Z","","Running","5.70 Km","26m 01s","7 m","28 m","428 KCal","Excellent ","","13.13 km/h","04:34 min/km","","169 bpm","","","57.90 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYfxKSTsLCy6QKyLEXn5tjHroLTNSj1P"
"4/28/2020","2020-04-28T07:33:37.000Z","","Running","13.32 Km","01h 08m 37s","28 m","21 m","1028 KCal","Very Good ","","11.65 km/h","05:09 min/km","","166 bpm","","","57.90 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYfxP4hVLcCZUtfXx14P8bgnareKPzfb"
"4/29/2020","2020-04-29T06:21:43.000Z","","Running","4.18 Km","21m 39s","21 m","14 m","334 KCal","Very Good ","","11.58 km/h","05:10 min/km","","163 bpm","","","57.80 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYfxVUEbdXnhhH7x64puhRt8gYGRwRUd"
