party_group,afinn_sentiment_avg,afinn_sd_avg,afinn_sentiment_wtd,afinn_sd_wtd,jockers_sentiment_avg,jockers_sd_avg,jockers_sentiment_wtd,jockers_sd_wtd,nrc_sentiment_avg,nrc_sd_avg,nrc_sentiment_wtd,nrc_sd_wtd,sentiword_sentiment_avg,sentiword_sd_avg,sentiword_sentiment_wtd,sentiword_sd_wtd,hu_sentiment_avg,hu_sd_avg,hu_sentiment_wtd,hu_sd_wtd,rheault_sentiment_avg,rheault_sd_avg,rheault_sentiment_wtd,rheault_sd_wtd,tot_speeches,tot_words,avg_speech_length
Conservative,0.1981807862317516,0.5088669807782408,0.23533372067160996,0.6500176637361127,0.14808696445257083,0.24964198733117623,0.1386000576252153,0.272095283412146,0.18869739950482733,0.3417641514196419,0.1996983496646598,0.3847584000739454,0.033264668222004225,0.1389309089022841,0.02739902189476327,0.1560793434920018,0.08225172830872274,0.30289323995996953,0.0795522901090226,0.36838477739216663,0.2276016740952202,0.2288934285925587,0.24824158590045464,0.24824158590045464,1099617,184867364,168.11977624936682
Labour,0.1426384574331646,0.5180019116514154,0.1712045961323884,0.654980596556177,0.11520574472461985,0.24583249582239194,0.10900122622201874,0.2694602460794182,0.1599226484520449,0.33991065187753594,0.17101568269421483,0.3843273126437056,0.028385990735308,0.13952620353462913,0.02232648475723094,0.15622295568388747,0.04852501901870922,0.30578208668695245,0.04320390986180641,0.36860990846104835,0.20916400534496438,0.22707904947771906,0.23821102579241749,0.23821102579241749,896115,169840149,189.5294119616344
Liberal Democrat,0.18183851378419683,0.562068686026089,0.20393027068516134,0.6866685413852365,0.11920919476783806,0.2513100829608644,0.10814976534007568,0.273515444993579,0.16361707005429482,0.35160165223149936,0.16643261746556925,0.3935294727029377,0.03321781057593136,0.14560970781848237,0.0260516957138189,0.16205727338270684,0.05599367102621617,0.3251826023366133,0.04666869116600216,0.3832199348780238,0.235635680866014,0.2418455704456345,0.24598668459817805,0.24598668459817805,131191,28496928,217.2170956849174
Other,0.12517955645967688,0.5151611260164598,0.15163374924263032,0.6554874797721072,0.09863705846186166,0.24200841168945159,0.08601998735535389,0.2645863505270006,0.14170681200038449,0.33633641026352973,0.14721135757023157,0.3806950973174262,0.026809947452281352,0.1373601029032592,0.018262572830530534,0.15688034483458096,0.0323510494855338,0.30310427330844,0.021013000735415843,0.3663225766453705,0.20963529769893557,0.2261066470170048,0.2186314991651252,0.2186314991651252,107168,21377531,199.47681210809196
