Country Name,Country Code,Series Name,Series Code,2017 [YR2017]
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,7406000
Hungary,HUN,"Population, total",SP.POP.TOTL,9785000
Iceland,ISL,"Population, total",SP.POP.TOTL,337000
India,IND,"Population, total",SP.POP.TOTL,1339180000
Indonesia,IDN,"Population, total",SP.POP.TOTL,263991000
"Iran, Islamic Rep.",IRN,"Population, total",SP.POP.TOTL,81163000
Iraq,IRQ,"Population, total",SP.POP.TOTL,38275000
Ireland,IRL,"Population, total",SP.POP.TOTL,4815000
Isle of Man,IMN,"Population, total",SP.POP.TOTL,84000
Israel,ISR,"Population, total",SP.POP.TOTL,8682000
Italy,ITA,"Population, total",SP.POP.TOTL,60570000
Jamaica,JAM,"Population, total",SP.POP.TOTL,2890000
Japan,JPN,"Population, total",SP.POP.TOTL,126641000
Jordan,JOR,"Population, total",SP.POP.TOTL,9702000
Kazakhstan,KAZ,"Population, total",SP.POP.TOTL,17996000
Kenya,KEN,"Population, total",SP.POP.TOTL,49700000
Kiribati,KIR,"Population, total",SP.POP.TOTL,116000
"Korea, Dem. People’s Rep.",PRK,"Population, total",SP.POP.TOTL,25491000
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,51439000
Kosovo,XKX,"Population, total",SP.POP.TOTL,1814000
Kuwait,KWT,"Population, total",SP.POP.TOTL,4137000
Kyrgyz Republic,KGZ,"Population, total",SP.POP.TOTL,6173000
Lao PDR,LAO,"Population, total",SP.POP.TOTL,6858000
Late-demographic dividend,LTE,"Population, total",SP.POP.TOTL,2273459000
Latin America & Caribbean,LCN,"Population, total",SP.POP.TOTL,644134000
Latin America & Caribbean (excluding high income),LAC,"Population, total",SP.POP.TOTL,616508000
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Population, total",SP.POP.TOTL,628061000
Latvia,LVA,"Population, total",SP.POP.TOTL,1950000
Least developed countries: UN classification,LDC,"Population, total",SP.POP.TOTL,1002483000
Lebanon,LBN,"Population, total",SP.POP.TOTL,6082000
Lesotho,LSO,"Population, total",SP.POP.TOTL,2233000
Liberia,LBR,"Population, total",SP.POP.TOTL,4732000
