party_group,afinn_sentiment_avg,afinn_sd_avg,afinn_sentiment_wtd,afinn_sd_wtd,jockers_sentiment_avg,jockers_sd_avg,jockers_sentiment_wtd,jockers_sd_wtd,nrc_sentiment_avg,nrc_sd_avg,nrc_sentiment_wtd,nrc_sd_wtd,huliu_sentiment_avg,huliu_sd_avg,huliu_sentiment_wtd,huliu_sd_wtd,rheault_sentiment_avg,rheault_sd_avg,rheault_sentiment_wtd,rheault_sd_wtd,tot_speeches,tot_words,avg_speech_length
Conservative,0.20563882883985057,0.5237995251715541,0.2610093014352132,0.7044114277911159,0.1512313167431762,0.25091447890606317,0.1458477811707096,0.2759371423774223,0.19779359421238718,0.3462137882133864,0.2151623268839178,0.39550877050119065,0.08625590930886372,0.30953175147431433,0.09121417395300785,0.39357093272385585,0.2324995983612859,0.23817011801420002,0.24359568080818483,0.24359568080818483,1069734,171421839,160.24716331349663
Labour,0.14521424454131607,0.5344772967165579,0.17898864014911572,0.7039972872697312,0.11603182623488596,0.24684974122684114,0.11124548017971247,0.2729329988805945,0.16475074427631392,0.3447107890411221,0.17956781483635198,0.39630976308909754,0.04990468201046604,0.3135565159349437,0.049390028614588063,0.3916247821690717,0.21446243757288994,0.23663715981339192,0.22494484563483072,0.22494484563483072,873496,157166594,179.9282355042267
Liberal Democrat,0.19009884766958984,0.5854788807327543,0.2210232338658132,0.7415859314807737,0.12203989074701399,0.25247241685593713,0.11282150811506435,0.2768386711458467,0.17149961358746268,0.35850985996497153,0.17718811474609458,0.40841749900831636,0.05824828750207405,0.3358022352029055,0.05204692287351079,0.4083662108576408,0.23400005660753487,0.24884751746033462,0.23220950505878085,0.23220950505878085,125690,25507642,202.940902219747
Other,0.1305538714712067,0.5349556488629197,0.1667568132101991,0.7035030501894758,0.10093924355449738,0.24339946248163213,0.09062655852931215,0.26842020839318026,0.14883775255091392,0.34307191322142644,0.15865675453029965,0.3944958028665055,0.034559770637647445,0.31300394623392985,0.02722215342303846,0.39097294838577096,0.2121513883277237,0.24081217335196936,0.21852635976009865,0.21852635976009865,100428,19227140,191.45198550205123
