party_group,afinn_sentiment_avg,afinn_sd_avg,afinn_sentiment_wtd,afinn_sd_wtd,jockers_sentiment_avg,jockers_sd_avg,jockers_sentiment_wtd,jockers_sd_wtd,nrc_sentiment_avg,nrc_sd_avg,nrc_sentiment_wtd,nrc_sd_wtd,huliu_sentiment_avg,huliu_sd_avg,huliu_sentiment_wtd,huliu_sd_wtd,rheault_sentiment_avg,rheault_sd_avg,rheault_sentiment_wtd,rheault_sd_wtd,jockers_rinker_sentiment_avg,jockers_rinker_sd_avg,jockers_rinker_sentiment_wtd,jockers_rinker_sd_wtd,senticnet_sentiment_avg,senticnet_sd_avg,senticnet_sentiment_wtd,senticnet_sd_wtd,tot_speeches,tot_words,avg_speech_length
Conservative,0.17498154481010553,0.41722617830839515,0.20146957604080187,0.49332419165716607,0.1490560398310356,0.24026892641387357,0.13979618075842823,0.2562830785237615,0.184720074434352,0.3115877708623119,0.19210269108688396,0.33654811715262795,0.07718054317872403,0.25392017507008335,0.07379850827744283,0.2897116687417361,0.23336606675254537,0.23487069306216887,0.24134044922588418,0.24134044922588418,0.13883039900135688,0.2528824229747579,0.12529951182436305,0.12529951182436305,0.2441371544408071,0.3122993431524215,0.253327467789478,0.253327467789478,1087552,176258681,162.06919853027716
Labour,0.11635332581052042,0.4148107172014748,0.13387084563191678,0.49486472362669653,0.11162118430104846,0.23406960889530168,0.10487979626269757,0.25254927257192566,0.1510017710225886,0.30616024351207366,0.15813525265452646,0.33444716756991766,0.04165562126950229,0.25132413933700143,0.033754891358495596,0.2877360018672309,0.21357979590856932,0.23180496285426172,0.22197474191970454,0.22197474191970454,0.09898385282206792,0.24811566318954692,0.08792125793990514,0.08792125793990514,0.23011912394219125,0.30987134818632733,0.23932249227163316,0.23932249227163316,880831,160343422,182.03653368239765
Liberal Democrat,0.15134791248455595,0.4403331429996433,0.16632515445951834,0.5085579230270205,0.11837632394667384,0.23832992898789596,0.1072191129702458,0.2544575360189544,0.156006756898525,0.31180873592079383,0.15520019193531198,0.3377857181562937,0.049131319895042526,0.26106841270709125,0.03978843726266672,0.2945779226143529,0.23338028591819976,0.24334853107028048,0.23052537700127174,0.23052537700127174,0.10354195162809168,0.2528340376808206,0.0878011398208136,0.0878011398208136,0.2471575146887199,0.3191536657285508,0.2463517491967282,0.2463517491967282,126439,26015398,205.754537761292
Other,0.10571313716918422,0.41360851000975,0.1248295794512082,0.49544450160130343,0.09738132998555306,0.23023791260739032,0.08507559092284663,0.24661200154279647,0.13521080610038097,0.30327710273704234,0.13809234748525065,0.32967517345478814,0.028524076518251604,0.24847431379348653,0.018370287049875762,0.2852168302803013,0.20667461911197824,0.22761946574942798,0.20459882429346105,0.20459882429346105,0.08496503316483814,0.24274288185290507,0.06786449498843418,0.06786449498843418,0.2322697340902039,0.3059868682255462,0.22813847246540656,0.22813847246540656,102049,19856555,194.57863379356976
NA,0.23642761071561585,0.5007247344089074,0.30598557255356296,0.5768844775855576,0.1328221105869598,0.2366195788278445,0.1467974417495617,0.264544031812457,0.1985328130201158,0.31918110725724136,0.24914096757410065,0.3489727978615567,0.0898967580485326,0.25955949875975776,0.10446777861958055,0.2998715003911276,0.22781769694943596,0.24135116410113266,0.23666303058635021,0.23666303058635021,0.11285276474660472,0.25093605863397317,0.12998138536758805,0.12998138536758805,0.20071164035131403,0.29364713246578866,0.2546992182389357,0.2546992182389357,104,10437,100.35576923076923
