Date,Name,Description,Activity Types,Distance,Duration,Ascent,Descent,Calories,Feeling,RPE,Average Speed,Average Pace,Average Swim Pace,Average Grade Adjusted Pace,Average Heart Rate,Average Power,Maximum Power,VO2Max,Link
"1/7/2020","2020-01-07T00:09:55.000Z","","Running","8.51 Km","46m 16s","149 m","134 m","614 KCal","","","11.02 km/h","05:26 min/km","","05:38 min/km","","","","","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYSvXVNWZRYCQg2z7HQbqpwaGbctR6Mh"
"1/9/2020","2020-01-09T06:26:03.000Z","","Running","5.28 Km","25m 26s","7 m","35 m","420 KCal","","","12.44 km/h","04:49 min/km","","04:43 min/km","178 bpm","","","","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYSviBvJYp1DKAZk9V7KR3sxNZQC5idU"
"1/10/2020","2020-01-10T06:30:02.000Z","","Running","7.37 Km","38m 42s","21 m","37 m","594 KCal","","","11.42 km/h","05:15 min/km","","05:06 min/km","172 bpm","","","","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYSvtshwYFAnXWmnBPn86K12VGpm4bdX"
"1/11/2020","2020-01-11T13:56:10.000Z","","Running","5.96 Km","31m 50s","14 m","35 m","433 KCal","","","11.24 km/h","05:20 min/km","","05:11 min/km","","","","","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYSvttf1X4tMiwf8qenMzh97vLLot9PX"
"1/12/2020","2020-01-12T10:42:09.000Z","","Running","6.43 Km","34m 47s","42 m","66 m","525 KCal","","","11.09 km/h","05:24 min/km","","05:06 min/km","170 bpm","","","","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYSyQPdzqqupsQT75WWJDxkcKburZfSc"
"1/15/2020","2020-01-15T17:11:26.000Z","","Running","5.23 Km","26m 40s","14 m","21 m","389 KCal","","","11.75 km/h","05:06 min/km","","05:00 min/km","167 bpm","","","","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYTCFnsQrNMR2Xh8nBpgztnoN6NF5eMT"
"1/18/2020","2020-01-18T10:08:24.000Z","","Running","3.07 Km","10m 40s","0 m","0 m","156 KCal","","","17.28 km/h","03:28 min/km","","00:04 min/km","152 bpm","","","","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYTCFnsn3dtEBSRRandUhv7PTpFDTCdt"
"1/18/2020","2020-01-18T10:22:52.000Z","","Running","7.94 Km","41m 44s","14 m","28 m","740 KCal","Average ","","11.42 km/h","05:15 min/km","","05:14 min/km","172 bpm","","","","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYTCFnsn8WDUgPD9pUZGb2uDJZjD8xuP"
"1/21/2020","2020-01-21T19:39:56.000Z","","Running","7.59 Km","38m 08s","0 m","0 m","681 KCal","Average ","","11.94 km/h","05:01 min/km","","04:55 min/km","181 bpm","","","55.00 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYTCW9AJQgBhAKHvgxSufJWNW6Cu8xtd"
"1/23/2020","2020-01-23T19:09:10.000Z","","Running","9.82 Km","53m 58s","64 m","50 m","821 KCal","Very Good ","","10.91 km/h","05:29 min/km","","05:26 min/km","167 bpm","","","54.50 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYTCdwozuQSPkSrz6Pr29hbMaMfvq5Hb"
"1/24/2020","2020-01-24T09:42:12.000Z","","Running","5.41 Km","29m 50s","14 m","43 m","496 KCal","Average ","","10.88 km/h","05:30 min/km","","05:34 min/km","172 bpm","","","54.20 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYTF9RM6qgKWP5vmk8vH3wh5bYcrb8Qs"
"1/25/2020","2020-01-25T11:22:54.000Z","","Running","6.93 Km","35m 55s","0 m","0 m","540 KCal","Average ","","11.58 km/h","05:10 min/km","","05:06 min/km","163 bpm","","","54.80 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYTTp7rYUykKDNcGQd21JZdqhjfW27AV"
"1/27/2020","2020-01-27T07:20:11.000Z","","Running","1.38 Km","07m 40s","14 m","7 m","100 KCal","Poor ","","10.81 km/h","05:33 min/km","","05:23 min/km","148 bpm","","","55.00 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYTTp7rYUxm94BgtAyKNfgoFPLH9f6eW"
"1/28/2020","2020-01-28T19:24:53.000Z","","Running","893.0 m","04m 53s","7 m","0 m","65 KCal","Good ","","10.95 km/h","05:28 min/km","","05:07 min/km","148 bpm","","","55.00 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYTTpF9Fbmrx4ejSt2JwDyjymCsLPJUM"
"1/28/2020","2020-01-28T19:38:46.000Z","","Running","9.19 Km","47m 43s","0 m","0 m","800 KCal","Good ","","11.56 km/h","05:11 min/km","","05:02 min/km","174 bpm","","","55.60 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYTTpFGaQCqdAr49upc7ath1rWz7xXxk"
"1/29/2020","2020-01-29T16:03:00.000Z","","Running","5.56 Km","30m 19s","28 m","14 m","465 KCal","Average ","","11.00 km/h","05:27 min/km","","05:20 min/km","165 bpm","","","55.60 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYTTtP8KrbVfEJANNSMUECCneqKQfof2"
"1/30/2020","2020-01-30T19:04:05.000Z","","Running","6.13 Km","30m 59s","49 m","28 m","596 KCal","Good ","","11.87 km/h","05:03 min/km","","04:54 min/km","172 bpm","","","55.70 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYTTzseqF5MXe32RYqi5iuDL7waibWzx"
"2/1/2020","2020-02-01T11:32:28.000Z","","Running","11.03 Km","58m 04s","50 m","35 m","939 KCal","Good ","","11.40 km/h","05:15 min/km","","05:11 min/km","172 bpm","","","55.60 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYTU839bW8XtkumqqADiKAtZkShqCzSH"
"2/2/2020","2020-02-02T13:53:24.000Z","","Running","5.25 Km","29m 19s","43 m","0 m","388 KCal","Average ","","10.74 km/h","05:35 min/km","","05:25 min/km","153 bpm","","","55.80 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYTUCFAR7tFn4mRXFxT4vzVJGAihMuTo"
"2/4/2020","2020-02-04T19:29:35.000Z","","Running","9.34 Km","56m 39s","0 m","0 m","790 KCal","Poor ","","9.90 km/h","06:03 min/km","","05:53 min/km","160 bpm","","","56.30 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYTUNxPw7f1K8QqAd77DjseCckpsNnpo"
