government,afinn_sentiment,jockers_sentiment,nrc_sentiment,sentiword_sentiment,hu_sentiment,tot_speeches,tot_words,avg_speech_length
Government,0.22152446083177074,0.16224402252462825,0.20342387809135112,0.03521980574053514,0.0955689578189855,1301385,215397623,165.5141430091787
Opposition,0.10156442406448517,0.08700218716299074,0.131585091361143,0.025104354568325993,0.02184276617308472,932649,189191540,202.8539568476458
