party_group,afinn_sentiment_avg,afinn_sd_avg,afinn_sentiment_wtd,afinn_sd_wtd,jockers_sentiment_avg,jockers_sd_avg,jockers_sentiment_wtd,jockers_sd_wtd,nrc_sentiment_avg,nrc_sd_avg,nrc_sentiment_wtd,nrc_sd_wtd,huliu_sentiment_avg,huliu_sd_avg,huliu_sentiment_wtd,huliu_sd_wtd,rheault_sentiment_avg,rheault_sd_avg,rheault_sentiment_wtd,rheault_sd_wtd,tot_speeches,tot_words,avg_speech_length
Conservative,0.19368199843249181,0.5146379421969591,0.2532814207464579,0.7164445442580757,0.14566294794144297,0.24661662982670052,0.13888907131774153,0.27104027383674756,0.19139199735796225,0.34139255318606254,0.20697283836553515,0.3908485189344047,0.07945590589535732,0.3057364077693426,0.08025736064977759,0.3941384414197632,0.22578332138486054,0.23206320348605328,0.23646112257277774,0.23646112257277774,1097276,182191264,166.0395962364984
Labour,0.14050695582779804,0.5267664452139867,0.177750114628633,0.6974224411524466,0.11411382602382177,0.24321442532979035,0.1103244067859515,0.2686451618891837,0.1620436478762884,0.3408704282671818,0.17809448577375414,0.39262805512286353,0.047637911370057004,0.3102757394128271,0.04723215606298839,0.38884567384013097,0.21122993381348457,0.23174139986111003,0.22330463278839888,0.22330463278839888,895262,167380335,186.96240318476603
Liberal Democrat,0.18122985734299726,0.578316258286572,0.21178574640295542,0.7395414508098851,0.11766663096574466,0.24809985379165123,0.10841181565426809,0.2723297377233095,0.1659322687648373,0.35416010474690895,0.17170072606399925,0.4050103160058119,0.05357074296032842,0.33322852094853794,0.04669032689697538,0.4078399985224638,0.22811045455629125,0.2428566921138911,0.2271147452905999,0.2271147452905999,131160,28192593,214.94810155535225
Other,0.12361050100297834,0.5249868393450516,0.1553595975366023,0.6927950605243625,0.09806534516498748,0.23932526097603218,0.08685616426162612,0.26328160969862213,0.1452651706941016,0.3378014535677463,0.15329945113492063,0.3888732437278483,0.03201300741295871,0.3082349348644845,0.02445717795770995,0.38605482443727324,0.20731296533344978,0.234367079864576,0.21258674958975918,0.21258674958975918,106659,21050835,197.36576378927236
