mnis_id,proper_name,afinn_sentiment_avg,afinn_sd_avg,afinn_sentiment_wtd,afinn_sd_wtd,jockers_sentiment_avg,jockers_sd_avg,jockers_sentiment_wtd,jockers_sd_wtd,nrc_sentiment_avg,nrc_sd_avg,nrc_sentiment_wtd,nrc_sd_wtd,sentiword_sentiment_avg,sentiword_sd_avg,sentiword_sentiment_wtd,sentiword_sd_wtd,hu_sentiment_avg,hu_sd_avg,hu_sentiment_wtd,hu_sd_wtd,rheault_sentiment_avg,rheault_sd_avg,rheault_sentiment_wtd,rheault_sd_wtd,tot_speeches,tot_words,avg_speech_length
346,Quentin Davies,0.16626050284472482,0.5782213635510746,0.20430070343967566,0.7431455682667145,0.11573658549656121,0.266530413924909,0.10039514685035773,0.28540017414909474,0.15656001116201126,0.3734233997392382,0.152942035848334,0.4143305212551435,0.024790349715410765,0.14502995563299453,0.02042202439560318,0.16296327907818794,0.044855541696732754,0.3370976102485627,0.03336590205648935,0.40361439973037067,0.21954448108049124,0.24940750908327497,0.21848891281463126,0.21848891281463126,2167,546506,252.1947392708814
347,Gillian Merron,0.36760691093504483,0.5665569775458867,0.420671214029395,0.6415518433552213,0.22460849971202948,0.2749040281934406,0.21941610535215073,0.2829347780817677,0.26546432811634496,0.3811103148540915,0.2791861064649332,0.3862669582389204,0.05090881571152336,0.14899446580055617,0.04601628975439351,0.15841799668067005,0.17834241411023394,0.33292748228497604,0.18754585103761756,0.365678255904141,0.3605753919802128,0.3005994325347265,0.34224067011688225,0.34224067011688225,607,140309,231.15156507413508
348,Peter Tapsell,0.05386273870273028,0.5208470780832611,0.10958466905257448,0.688500452483601,0.09198397192937242,0.23148750546019636,0.0882608534190159,0.2606381509559797,0.14109723717850522,0.34917386215492435,0.16161363071858104,0.39079944607798206,0.023243186350236592,0.13362798931512063,0.022804698663551157,0.15074870013987995,0.03673589268862951,0.35073230421114304,0.0382839032929162,0.41003676664231903,0.18019176417661692,0.19346611737308872,0.2028227908428766,0.2028227908428766,1065,143317,134.56995305164318
349,Douglas Hogg,0.13292322698893622,0.5030350635832569,0.15704998125410696,0.6122173773795054,0.12338876740295235,0.26086935426776225,0.115218101473804,0.27315817758455885,0.15909448592975356,0.35072833563313116,0.17279798789331238,0.37810203459134367,0.027067708716909486,0.13748907740828098,0.02450406738761331,0.15062289977729448,0.055213882626011186,0.31209245523118634,0.0493809781965451,0.3536687354478139,0.18648463022167733,0.229838189300745,0.20047504021781629,0.20047504021781629,7263,958378,131.95346275643672
35,Bob Russell,0.13334954008189617,0.527935891849485,0.20213859982281002,0.784550136711848,0.0999733777437352,0.23196514023202144,0.09960959575552088,0.27286631961490937,0.1636977954764983,0.33913543079288694,0.1900151075814336,0.4015995994391079,0.021310643859364382,0.13517651494329005,0.018320526120140335,0.1610179578117217,0.04354994071713628,0.2921876653765097,0.0376664678308769,0.38207229755718775,0.21294839070492497,0.21717990853308286,0.2434936488983191,0.2434936488983191,1829,302071,165.1563696008748
350,John Hayes,0.2559589458984649,0.5864802200877273,0.3121808417461763,0.7109683383561071,0.1639198325409322,0.2711730640979947,0.15988998139692687,0.28318541896752875,0.21356301978151068,0.3709288645253296,0.2317724288866134,0.4067711114595484,0.03704171060001836,0.14389101760785886,0.036152282944676754,0.15781783057548282,0.10380648446205352,0.3383833591780834,0.11023061339146421,0.3988274194812895,0.27758709544503907,0.26451715601360426,0.2699658196856887,0.2699658196856887,2947,539224,182.97387173396675
351,Phil Hope,0.3228789889374598,0.5483875338761542,0.4280598906177238,0.6558478212173359,0.21037328690067678,0.2834279501557083,0.2267514487524666,0.28815995242143205,0.24619250231571216,0.358327391228061,0.2880031136825162,0.3888220895898944,0.03932063088251873,0.14221240167422455,0.040072535854194465,0.16028174822005686,0.12477544589917844,0.3197327260813914,0.16768308042457578,0.36189235513076756,0.2950981151974955,0.2955800831838286,0.3160999455978136,0.3160999455978136,1059,246663,232.92067988668555
352,Tim Boswell,0.24868406166864154,0.560556468797424,0.2996959832981371,0.7222351301910124,0.1601977697101942,0.2560080086562818,0.14757934902364864,0.2813548121425325,0.2055693685934115,0.3706984137288239,0.21356195816614554,0.4277265384717865,0.03694525825954857,0.14148139034797413,0.031276575874375545,0.16287006191372208,0.08977879630383533,0.3294332335538235,0.08925407168438892,0.4139194088114576,0.26832489839194784,0.2518429238660022,0.2813434850306385,0.2813434850306385,1983,460516,232.23197175995966
353,Phil Sawford,0.18584855488598845,0.5224284037767253,0.2792262858005862,0.5601919749023044,0.18673456280841402,0.23356716178684203,0.2081300134646706,0.24737924159870725,0.22504519234416748,0.3246465409725309,0.2704630012756307,0.3557828404587813,0.04524495730016959,0.11929374699481263,0.0549838928738854,0.12699720270386622,0.10437184630457044,0.3199901162838379,0.13287566376870483,0.3389932954991053,0.2577687243729234,0.2697709881244189,0.3046496070688967,0.3046496070688967,114,9996,87.6842105263158
354,Sally Keeble,0.22016939468938826,0.5985895618869599,0.23059387241352672,0.7576241416522039,0.18446151897484192,0.2729082747037209,0.15270783913968852,0.30057469851444435,0.2167424016778163,0.36767411161570873,0.22443485840877872,0.4197556125907108,0.03540882056471307,0.140430877913331,0.02730322467964236,0.16179296131573515,0.09963013182263203,0.35324178958911345,0.06726595383771389,0.4297201123797471,0.29475114705114397,0.2848498633111904,0.2905423031791144,0.2905423031791144,1329,317373,238.8058690744921
355,Tony Clarke,-0.0056429583683715746,0.5614124444443038,-0.04129077037718117,0.5814352237395701,0.14845850425808257,0.2380103043976968,0.09757063111016905,0.2443017052745604,0.2094446868688145,0.3274126676186536,0.17055468364096638,0.3346751643968714,0.02775934772570654,0.14235291054878263,0.0076393158149042125,0.1565565521468753,0.05913216786179676,0.35726133844358676,0.0030425503733450864,0.34656569999906683,0.26343006920705897,0.17898639071195863,0.30038402152166205,0.30038402152166205,52,9957,191.48076923076923
356,Paul Stinchcombe,0.02621744973386941,0.6252974988004371,-0.04369871678618931,0.9067310047657711,0.08668394974534653,0.27895961333082747,0.055442228372845216,0.31760833865814503,0.10802236747519103,0.37325719767160115,0.11212136876512338,0.4662497374016586,0.013192810609860287,0.16363257382669438,0.010317913126007435,0.17578877796989026,-0.026081154913195653,0.3791158912810167,-0.03614037831543312,0.44368166770361067,0.15135322546332924,0.22534235506885109,0.14498508803074234,0.14498508803074234,86,39679,461.3837209302326
