mnis_id,proper_name,afinn_sentiment_avg,afinn_sd_avg,afinn_sentiment_wtd,afinn_sd_wtd,jockers_sentiment_avg,jockers_sd_avg,jockers_sentiment_wtd,jockers_sd_wtd,nrc_sentiment_avg,nrc_sd_avg,nrc_sentiment_wtd,nrc_sd_wtd,huliu_sentiment_avg,huliu_sd_avg,huliu_sentiment_wtd,huliu_sd_wtd,rheault_sentiment_avg,rheault_sd_avg,rheault_sentiment_wtd,rheault_sd_wtd,tot_speeches,tot_words,avg_speech_length
131,John MacGregor,0.27012687687175446,0.45559075823372314,0.3234669319996082,0.5603895898404602,0.18273895768426426,0.24506672015858627,0.17902250262462252,0.2607822166369897,0.23284166250929256,0.3395991574156906,0.24719061730761147,0.3661157594718861,0.0990257152116422,0.2804124717864406,0.12248875128601608,0.33751942827723624,0.2402419796395372,0.23224458429444178,0.2553754777380264,0.2553754777380264,5789,981536,169.55190879253757
132,Gillian Shephard,0.2922743969932911,0.5447555651910704,0.337274872134233,0.6819456108643444,0.18586955059675625,0.2612272160454848,0.17158208787289214,0.276816218971757,0.2425411481975104,0.35491688151592876,0.25163895730235875,0.3942246149844667,0.12743713084072605,0.32216324099306215,0.128120388592795,0.38795423013413927,0.26594146768471605,0.24801864063823126,0.2674706102762807,0.2674706102762807,1794,283849,158.22129319955408
133,David Ruffley,0.10146711775858125,0.5894492262663865,0.1971340191316552,0.834382682275176,0.09967418246339364,0.25116184241760314,0.10745633733104161,0.28020986557320476,0.15475819344350675,0.353350707370807,0.18402507700061554,0.4203570143969127,0.05272193733903031,0.3252557576314514,0.06115257703301428,0.43182969977411506,0.2017988595948666,0.2352303351719935,0.21994275022627727,0.21994275022627727,942,188806,200.43099787685776
134,Michael Lord,0.06773919667974532,0.3139607372201085,0.38170830759524804,1.4696208564466038,0.09529258802167355,0.1890954939284977,0.21937561056716046,0.33612172929853323,0.11899152980283069,0.25490257879256817,0.37232657876083375,0.688479594695817,0.0833978267276059,0.26292198309395615,0.6685371153998938,2.787809278897976,0.1525718009310184,0.1859287491484268,0.46028501286798246,0.46028501286798246,5692,319517,56.134399156711176
135,Jamie Cann,0.22012487696040328,0.6490593486577498,0.20740207738038546,0.7211302058814624,0.03911386324356429,0.21550704522526765,0.06947470822251042,0.254016423297516,0.0938919611481783,0.3426130507779435,0.15498912894390068,0.41599898409527697,0.0025916015719275338,0.35069638909293854,0.06123612364796336,0.4462854093074542,0.1723441322271221,0.21217086483425368,0.17075782070618864,0.17075782070618864,77,23627,306.84415584415586
136,Tim Yeo,0.15640432931488155,0.5706763987395927,0.19636450385983356,0.6948302919294129,0.13645273665465402,0.2665549712286443,0.1260136694520797,0.28479079962440246,0.19074750081579325,0.3610678917860626,0.20073139453166533,0.397209535261194,0.04555123941725639,0.34213902664891654,0.0334364544829871,0.3880216130636015,0.23032225849285098,0.2515625855066769,0.2326623877287314,0.2326623877287314,2220,507905,228.78603603603602
137,John Gummer,0.19716986098861636,0.5060737716537345,0.22139858059095663,0.6006564378210226,0.1404101369802618,0.24942649176184703,0.13347698975254157,0.2623246719219699,0.19225351413765202,0.34029019293910423,0.2010074971398308,0.3705688432144634,0.05976626741728821,0.3034189134044926,0.054616182269425745,0.34805871540779754,0.2033268501747777,0.2416366130473341,0.2045200400679471,0.2045200400679471,5936,1000807,168.59956199460916
138,Bob Blizzard,0.16774915637225085,0.5417996698855292,0.17900890465162345,0.79024444097841,0.15646254385210762,0.26885640783477505,0.11096092249170107,0.29074033860646137,0.18366742907245942,0.36186459002924387,0.16417720899604343,0.41106595883126895,0.09191716723294832,0.31988090402773206,0.06842262106151832,0.4221586710764725,0.2618788462488653,0.2647308096024023,0.22326363819385406,0.22326363819385406,686,134673,196.31632653061226
139,Richard Spring,0.2065840462284072,0.6094691024233909,0.28501491255404154,0.8498209606288567,0.13635817294718244,0.2504912493334001,0.13108887041948591,0.2981250551413482,0.20159519676559565,0.3682724219433187,0.20180502491792024,0.43869129567220666,0.07066788855553309,0.3275284055942806,0.07700085963763334,0.43485487621434,0.22577820130863732,0.2485621636232044,0.242676011251185,0.242676011251185,919,263849,287.1044613710555
140,Margaret Hodge,0.30576799378408154,0.5799388756791956,0.303842984695701,0.6872736056084164,0.1974909411929254,0.2682802338066002,0.18229122860944072,0.29016338523697977,0.25111444668003174,0.36151534909693406,0.2576399908558887,0.4015766159946373,0.11035535002729693,0.3241970612916531,0.09376482540766876,0.37927800547061635,0.3099271003856793,0.27824074985881836,0.2964630529346719,0.2964630529346719,1334,273142,204.75412293853074
141,Martin Linton,0.12651508261046526,0.546958265177672,0.1986298012344585,0.7653172118722881,0.13778992032520773,0.24899102673951912,0.11719807533301436,0.2720070033505033,0.16162931171982972,0.35605197102515584,0.17825866047999697,0.40602154284258346,0.0582362113395962,0.336327766726641,0.05009138465010614,0.44096182183571314,0.22312098517590537,0.2267115576086159,0.21410204796279766,0.21410204796279766,619,109961,177.64297253634896
142,Jacqui Lait,0.22226025567680688,0.5549181555885057,0.26263656848583283,0.7132096353217815,0.14242672347213206,0.2465949074082338,0.12513820107223877,0.2736846627194003,0.1853162729257117,0.3463820374668252,0.19099489772742878,0.3964201121764789,0.07155443423443211,0.3213367020568981,0.05635083319733299,0.39554720322106096,0.2323304457986507,0.2329509350776278,0.23122349269830914,0.23122349269830914,1046,204414,195.4244741873805
143,Oona King,0.11168158313496608,0.5714941489371214,0.06790544967219378,0.8029035764473693,0.11230943312920338,0.2569785033110294,0.06734535889826453,0.28987958629497307,0.15814088014474806,0.35952652433944826,0.15064509972113674,0.40639233328005636,0.04957206832359541,0.3213513111137176,0.006594369517965467,0.46179182123884804,0.2142328278758603,0.257260190646526,0.2074136316356814,0.2074136316356814,272,63233,232.47426470588235
144,Nigel Beard,0.08405672405345818,0.45550059743389326,0.11168290885334588,0.7409551207471099,0.1372640164024008,0.24482751147247941,0.08827980823247444,0.2868920038585152,0.1627630784575075,0.3386829811069537,0.1620367894870851,0.4230696238832433,0.04128116261917593,0.30581789413976795,-0.01352803494485866,0.4304733140829767,0.2132999007762711,0.22018400571024788,0.20734924034382604,0.20734924034382604,302,60037,198.7980132450331
